,categories,name,prices,site,url,clean
1,"['flower', 'indica']",Zombie,"[['3-5-grams', 32.23], ['7-grams', 61.88], ['14-grams', 108.29], ['28-grams', 206.25]]",bcbud.store,https://bcbud.store/product/zombie/,zombie
3,"['flower', 'indica']",Banana Clips,"[['3-5-grams', 26.65], ['7-grams', 50.86], ['14-grams', 96.88], ['28-grams', 174.38]]",bcbud.store,https://bcbud.store/product/banana-clips/,banana clips
5,"['flower', 'hybrid', 'indica', 'sativa']",BCBud.store – NOT NAMED Cheap Ounce,"[['', 139.95]]",bcbud.store,https://bcbud.store/product/bcbud-store-not-named-cheap-ounce/,bcbud.store not named cheap ounce
7,"['flower', 'indica']",Blackberry,"[['3-5-grams', 35.15], ['7-grams', 67.5], ['14-grams', 75.0], ['28-grams', 150.0]]",bcbud.store,https://bcbud.store/product/blackberry/,blackberry
8,"['flower', 'indica']",Blue Diablo,"[['3-5-grams', 38.09], ['7-grams', 73.13], ['14-grams', 127.97], ['28-grams', 243.75]]",bcbud.store,https://bcbud.store/product/blue-diablo/,blue diablo
10,"['flower', 'indica']",Bubba Kush,"[['3-5-grams', 32.66], ['7-grams', 62.35], ['14-grams', 118.76], ['28-grams', 213.76]]",bcbud.store,https://bcbud.store/product/bubba-kush/,bubba kush
22,"['flower', 'indica']",Cookie Monster,"[['3-5-grams', 29.21], ['7-grams', 55.78], ['14-grams', 106.25], ['28-grams', 191.25]]",bcbud.store,https://bcbud.store/product/cookie-monster/,cookie monster
25,"['flower', 'hybrid', 'sativa']",Gorilla Bomb,"[['3-5-grams', 30.93], ['7-grams', 59.07], ['14-grams', 112.5], ['28-grams', 202.51]]",bcbud.store,https://bcbud.store/product/gorilla-bomb/,gorilla bomb
26,"['flower', 'hybrid', 'indica']",Grape Crush,"[['3-5-grams', 29.3], ['7-grams', 56.25], ['14-grams', 98.43], ['28-grams', 187.5]]",bcbud.store,https://bcbud.store/product/grape-crush/,grape crush
27,"['flower', 'indica']",Greasy Pink,"[['3-5-grams', 37.11], ['7-grams', 71.25], ['14-grams', 124.69], ['28-grams', 237.5]]",bcbud.store,https://bcbud.store/product/greasy-pink/,greasy pink
32,"['hash and keif', 'keif', ""walter's creations""]",Kief Cups,"[['', 59.9]]",bcbud.store,https://bcbud.store/product/keif-cups/,kief cups
35,"['flower', 'hybrid']",Lemon Skunk,"[['3-5-grams', 26.64], ['7-grams', 50.86], ['14-grams', 96.86], ['28-grams', 174.38]]",bcbud.store,https://bcbud.store/product/lemon-skunk/,lemon skunk
