,categories,name,prices,site,url
5,"['flower', 'hybrid', 'indica', 'sativa']",BCBud.store – NOT NAMED Cheap Ounce,"[['', 139.95]]",bcbud.store,https://bcbud.store/product/bcbud-store-not-named-cheap-ounce/
32,"['hash and keif', 'keif', ""walter's creations""]",Kief Cups,"[['', 59.9]]",bcbud.store,https://bcbud.store/product/keif-cups/
144,['balanced-hybrids'],Caviar Pre-Roll – West Coast Smoke,"[['', '20']]",budexpressnow.ca,https://www.budexpressnow.ca/product/caviar-pre-rolls-west-coast-smoke/
2199,['indica'],½ Ounce Indica Starter Pack,"[['', '129.99']]",greensociety.ca,https://www.greensociety.ca/product/%c2%bd-ounce-indica-starter-pack/
2200,['hybrid'],½ Ounce Hybrid Starter Pack,"[['', '129.99']]",greensociety.ca,https://www.greensociety.ca/product/%c2%bd-ounce-hybrid-starter-pack/
2201,['hybrid'],½ Ounce Mixed Starter Pack,"[['', '129.99']]",greensociety.ca,https://www.greensociety.ca/product/half-ounce-mixed-starter-pack/
2202,['sativa'],½ Ounce Sativa Starter Pack,"[['', '129.99']]",greensociety.ca,https://www.greensociety.ca/product/half-ounce-sativa-starter-pack/
2227,['variety packs (flowers)'],Essential Flowers Starter Pack,"[['', '110.00']]",greensociety.ca,https://www.greensociety.ca/product/essential-flowers-starter-pack/
2242,['variety packs (flowers)'],Star Wars May The 4th Promo,"[['', '254.00 - 274.00']]",greensociety.ca,https://www.greensociety.ca/product/star-wars-may-the-4th-promo/
2244,['variety packs (flowers)'],Star Wars Dark Side Package,"[['', '274.00']]",greensociety.ca,https://www.greensociety.ca/product/star-wars-dark-side-package/
202,['indica'],Master Kush,"[['', 'out of stock']]",budexpressnow.ca,https://www.budexpressnow.ca/product/master-kush-2/
204,['indica'],(AAA) Surprise Sample Pack (28 grams),"[['', '140.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/a-sample-pack-28-grams/
205,['indica'],(AAAA) Surprise Sample Pack (28 grams),"[['', '180.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/aaaa-surprise-sample-pack-28-grams/
206,['hybrid'],*Special Deal* Alien OG,"[['', '120.00-800.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/alien-og/
220,['shake weed'],Black Diamond Shake Weed (Budget),"[['', '160.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/black-diamond-trim-1-pound/
2272,['indica'],El Jefe Ounce Special,"[['', '180.00']]",greensociety.ca,https://www.greensociety.ca/product/el-jefe-ounce-special/
2278,['indica'],Purple Kush (28 Grams),"[['', '150.00']]",greensociety.ca,https://www.greensociety.ca/product/purple-kush/
231,['shake weed'],Blueberry Haze Shake Weed – 1 pound,"[['', '225.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/blueberry-haze-shake-weed/
238,['shake weed'],Budget Shake Weed – 1 Pound,"[['', '150.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/budget-trim-1-pound/
239,['shake weed'],Budget Shake Weed (Indica),"[['', '150.00']]",bulkweedinbox.com,https://bulkweedinbox.com/product/budget-shake-weed-indica/
257,['indica'],El Jefe,"[['', 'out of stock']]",bulkweedinbox.com,https://bulkweedinbox.com/product/el-jefe/
2353,"['accessories', 'flower', 'on sale']",Grape Organic Hemp Blunt Wrap’s (No Tobacco),"[['', '3.50']]",greenz.ca,https://greenz.ca/product/grape-organic-hemp-blunt-wraps-no-tobacco-2/
2358,"['accessories', 'flower', 'on sale']",Honey Organic Hemp Blunt Wrap’s (No Tobacco),"[['', '3.50']]",greenz.ca,https://greenz.ca/product/grape-organic-hemp-blunt-wraps-no-tobacco/
2370,"['accessories', 'flower', 'on sale']",Smoking Brown Paper and Filter Tip Combo Pack,"[['', '3.00']]",greenz.ca,https://greenz.ca/product/smoking-brown-paper-and-filter-tip-combo-pack/
2371,"['accessories', 'flower', 'on sale']",Smoking Deluxe Paper and Filter Tip Combo Pack,"[['', '3.00']]",greenz.ca,https://greenz.ca/product/smoking-deluxe-paper-and-filter-tip-combo-pack/
