url,name,categories,quantity,price
https://deliverymeds.ca/product/blueberry-kush-rosin/,Blueberry Kush Rosin,Concentrates,1-gram,35
https://deliverymeds.ca/product/blueberry-kush-rosin/,Blueberry Kush Rosin,Concentrates,ounce,700
https://deliverymeds.ca/product/blueberry-kush-rosin/,Blueberry Kush Rosin,Concentrates,half-o,420
https://deliverymeds.ca/product/comatose-rosin/,Comatose Rosin,Concentrates,1-gram,35
https://deliverymeds.ca/product/comatose-rosin/,Comatose Rosin,Concentrates,ounce,700
https://deliverymeds.ca/product/comatose-rosin/,Comatose Rosin,Concentrates,half-o,420
https://deliverymeds.ca/product/cheese-rosin-coming-soon/,Cheese Rosin,Concentrates,1-gram,35
https://deliverymeds.ca/product/cheese-rosin-coming-soon/,Cheese Rosin,Concentrates,ounce,700
https://deliverymeds.ca/product/cheese-rosin-coming-soon/,Cheese Rosin,Concentrates,half-o,420
https://deliverymeds.ca/product/rockstar-rosin-coming-soon/,Rockstar Rosin,Concentrates,1-gram,35
https://deliverymeds.ca/product/rockstar-rosin-coming-soon/,Rockstar Rosin,Concentrates,ounce,700
https://deliverymeds.ca/product/rockstar-rosin-coming-soon/,Rockstar Rosin,Concentrates,half-o,420
https://deliverymeds.ca/product/house-blend-hash-get-ready-for-a-blast-of-flavors/,house blend hash get ready for a blast of flavors,Hash,1-gram,15
https://deliverymeds.ca/product/house-blend-hash-get-ready-for-a-blast-of-flavors/,house blend hash get ready for a blast of flavors,Hash,ounce,300
https://deliverymeds.ca/product/house-blend-hash-get-ready-for-a-blast-of-flavors/,house blend hash get ready for a blast of flavors,Hash,half-o,175
https://deliverymeds.ca/product/killer-gorilla-glue-hash/,killer gorilla glue hash,Concentrates,1-gram,15
https://deliverymeds.ca/product/killer-gorilla-glue-hash/,killer gorilla glue hash,Concentrates,half-o,175
https://deliverymeds.ca/product/killer-gorilla-glue-hash/,killer gorilla glue hash,Concentrates,ounce,300
https://deliverymeds.ca/product/hubbabuba-cheese-hash/,HubbaBuba Cheese Hash,Concentrates,1-gram,15
https://deliverymeds.ca/product/hubbabuba-cheese-hash/,HubbaBuba Cheese Hash,Concentrates,half-o,175
https://deliverymeds.ca/product/hubbabuba-cheese-hash/,HubbaBuba Cheese Hash,Concentrates,ounce,300
https://deliverymeds.ca/product/blueberry-cheesecake-hash/,Blueberry Cheesecake Hash,Hash,1-gram,15
https://deliverymeds.ca/product/blueberry-cheesecake-hash/,Blueberry Cheesecake Hash,Hash,ounce,300
https://deliverymeds.ca/product/blueberry-cheesecake-hash/,Blueberry Cheesecake Hash,Hash,half-o,175
https://deliverymeds.ca/product/bubble-gum-hash-flavored-natural-turps/,Bubble Gum Hash Flavored with Natural Terps,Hash,1-gram,15
https://deliverymeds.ca/product/bubble-gum-hash-flavored-natural-turps/,Bubble Gum Hash Flavored with Natural Terps,Hash,ounce,300
https://deliverymeds.ca/product/bubble-gum-hash-flavored-natural-turps/,Bubble Gum Hash Flavored with Natural Terps,Hash,half-o,175
https://deliverymeds.ca/product/super-concentrated-uk-cheese-hash/,New Age – Super Concentrated UK Cheese Hash,Hash,1-gram,15
https://deliverymeds.ca/product/super-concentrated-uk-cheese-hash/,New Age – Super Concentrated UK Cheese Hash,Hash,ounce,300
https://deliverymeds.ca/product/super-concentrated-uk-cheese-hash/,New Age – Super Concentrated UK Cheese Hash,Hash,half-o,175
https://deliverymeds.ca/product/super-concentrated-rock-star/,New Age Hash – Super Concentrated Rock Star,Hash,1-gram,15
https://deliverymeds.ca/product/super-concentrated-rock-star/,New Age Hash – Super Concentrated Rock Star,Hash,ounce,300
https://deliverymeds.ca/product/super-concentrated-rock-star/,New Age Hash – Super Concentrated Rock Star,Hash,half-o,175
https://deliverymeds.ca/product/blueberry-flavor-hash/,Blueberry Hash – True Blue All Natural,Hash,1-gram,15
https://deliverymeds.ca/product/blueberry-flavor-hash/,Blueberry Hash – True Blue All Natural,Hash,ounce,300
https://deliverymeds.ca/product/blueberry-flavor-hash/,Blueberry Hash – True Blue All Natural,Hash,half-o,175
https://deliverymeds.ca/product/bubba-x-hash/,Bubba X Hash,Cannabis,eighth,24.5
https://deliverymeds.ca/product/bubba-x-hash/,Bubba X Hash,Cannabis,half-o,98
https://deliverymeds.ca/product/bubba-x-hash/,Bubba X Hash,Cannabis,quarter,49
https://deliverymeds.ca/product/bubba-x-hash/,Bubba X Hash,Cannabis,ounce,196
https://deliverymeds.ca/product/iranian/,Iranian,Cannabis,eighth,17.5
https://deliverymeds.ca/product/iranian/,Iranian,Cannabis,half-o,70
https://deliverymeds.ca/product/iranian/,Iranian,Cannabis,quarter,35
https://deliverymeds.ca/product/iranian/,Iranian,Cannabis,ounce,140
https://deliverymeds.ca/product/house-blend-crushed-bud/,House Blend all Bud,Cannabis,eighth,14
https://deliverymeds.ca/product/house-blend-crushed-bud/,House Blend all Bud,Cannabis,quarter,28
https://deliverymeds.ca/product/house-blend-crushed-bud/,House Blend all Bud,Cannabis,half-o,50
https://deliverymeds.ca/product/house-blend-crushed-bud/,House Blend all Bud,Cannabis,ounce,100
https://deliverymeds.ca/product/vape-pen-e-pen-with-400mg-of-pure-thc-distillate/,Vape Pen / E-Pen with 400mg of Pure THC Distillate,Concentrates,1 g,45.00
https://deliverymeds.ca/product/reloadable-vape-pen-set/,Reloadable Vape Pen Set,Vapes,,35.00 - 70.00
https://deliverymeds.ca/product/triple-refined-cannabis-distillate/,Triple Refined Cannabis distillate,Concentrates,1 g,60.00
https://deliverymeds.ca/product/cbd-oil-drops/,CBD Oil Drops,Oils,1 g,60.00
https://deliverymeds.ca/product/1-ml-re-loadable-vape-refill/,1 ml re loadable vape pen  refill,Concentrates,1 g,50.00
https://deliverymeds.ca/product/death-bubba-shatter/,Death Bubba Shatter,Concentrates,1 g,45.00
https://deliverymeds.ca/product/cbd-distillate-vape-refill/,CBD distillate pen refill pineapple flavor,Concentrates,1 g,40.00
https://deliverymeds.ca/product/pineapple-express-rosin/,pineapple express rosin,Uncategorized,1 g,40.00
https://deliverymeds.ca/product/ogkush-shatter/,OG Kush Shatter,Concentrates,1 g,40.00
https://deliverymeds.ca/product/1-2-ml-c-cell-re-loadable-vape-refill/,0.5 ml c cell re-loadable pen refill,Concentrates,1 g,35.00
https://deliverymeds.ca/product/pink-budderwax/,Pink Budder/Wax,Concentrates,1 g,35.00
https://deliverymeds.ca/product/rock-star-bud-kief-crystal/,Rock Star Bud Kief,Kief,,10.00 - 20.00
https://deliverymeds.ca/product/cannadees-gummy-candy-100mg-pure-thc-disillate/,Cannadees Gummy Candy 100mg Pure THC Disillate,Concentrates,1 g,20.00
https://deliverymeds.ca/product/wedding-cake/,wedding cake,Cannabis,1 g,10.00
https://deliverymeds.ca/product/watermelon/,Watermelon,Cannabis,1 g,10.00
https://deliverymeds.ca/product/blueberry-kush-kief/,Blueberry kush kief,Kief,1 g,10.00
https://deliverymeds.ca/product/comatose-kief/,Comatose Kief,Kief,1 g,10.00
https://deliverymeds.ca/product/death-bubba-kief/,Death Bubba Kief,Kief,1 g,10.00
https://deliverymeds.ca/product/cheese-bud-kief/,Cheese Bud Kief,Kief,1 g,10.00
https://deliverymeds.ca/product/black-momba/,black momba,Uncategorized,1 g,8.00
https://deliverymeds.ca/product/pre-rolled-king-size-cones-gorilla-glue4/,pre rolled king size cones gorilla glue#4,Cannabis,1 g,7.00
https://deliverymeds.ca/product/mango-haze-high-cbd/,Mango Haze – High CBD,Cannabis,1 g,7.00
https://deliverymeds.ca/product/platinum-kush/,Platinum Kush,Cannabis,1 g,7.00
https://deliverymeds.ca/product/blueberry-kush/,BlueBerry Kush,Cannabis,1 g,7.00
https://deliverymeds.ca/product/alien-og/,Alien OG,Cannabis,1 g,6.50
https://deliverymeds.ca/product/tropical-cookie/,tropical cookie,Cannabis,1 g,6.50
https://deliverymeds.ca/product/island-pink-kush/,island pink kush,Cannabis,1 g,6.50
https://deliverymeds.ca/product/sweet-black-angel/,Sweet Black Angel,Cannabis,1 g,6.50
https://deliverymeds.ca/product/l-a-chocolate/,L.A Chocolate,Cannabis,1 g,6.50
https://deliverymeds.ca/product/island-rockstar/,island rockstar,Cannabis,1 g,6.00
https://deliverymeds.ca/product/girlscout-cookie-platinum/,girlscout cookie platinum,Cannabis,1 g,6.00
https://deliverymeds.ca/product/kali-mist/,kali mist,Cannabis,1 g,6.00
https://deliverymeds.ca/product/orange-cookie/,orange cookie,Cannabis,1 g,6.00
https://deliverymeds.ca/product/green-crack/,green crack,Cannabis,1 g,6.00
https://deliverymeds.ca/product/train-wreck/,Train Wreck,Cannabis,1 g,6.00
https://deliverymeds.ca/product/strawberry-haze/,Strawberry Haze,Cannabis,1 g,6.00
https://deliverymeds.ca/product/lemon-tangerine/,Lemon Tangerine,Cannabis,1 g,6.00
https://deliverymeds.ca/product/kemo/,Kemo,Cannabis,1 g,6.00
https://deliverymeds.ca/product/lemon-haze/,lemon haze,Uncategorized,1 g,5.50
https://deliverymeds.ca/product/black-diamond/,Black Diamond,Cannabis,1 g,5.50
https://deliverymeds.ca/product/wild-berry-kush/,Wild Berry Kush,Cannabis,1 g,5.50
https://deliverymeds.ca/product/nuken/,Nuken,Cannabis,1 g,5.50
https://deliverymeds.ca/product/o-g-kush/,O.G KUSH,Cannabis,1 g,5.00
https://deliverymeds.ca/product/medi-kush/,Medi Kush,Cannabis,1 g,5.00
https://deliverymeds.ca/product/chemdawg/,Chemdawg,Cannabis,1 g,5.00
https://deliverymeds.ca/product/girl-scout-cookies/,Girl Scout Cookies,Cannabis,1 g,5.00
https://deliverymeds.ca/product/gorilla-glue/,Gorilla Glue#4,Cannabis,1 g,5.00
https://deliverymeds.ca/product/u-k-cheese/,U.K. Cheese,Cannabis,1 g,5.00
https://deliverymeds.ca/product/death-bubba/,Death Bubba,Cannabis,1 g,5.00
https://deliverymeds.ca/product/rockstar-kush/,Rockstar Kush,Cannabis,1 g,5.00
https://deliverymeds.ca/product/cbd-iced-tea/,CBD Iced Tea,Concentrates,1 g,4.99
https://deliverymeds.ca/product/lock-n-load-chillums/,Lock N Load Chillums,Accessories,1 g,3.99
