url,name,categories,quantity,price
https://greenz.ca/product/honey-oil/,Honey Oil,Concentrates,,35.00
https://greenz.ca/product/moroccan-hash-solventless/,Moroccan Hash (Solventless),"Concentrates, Hash, On Sale",gram,18.00
https://greenz.ca/product/moroccan-hash-solventless/,Moroccan Hash (Solventless),"Concentrates, Hash, On Sale",28 grams,350.00
https://greenz.ca/product/cherry-oil-2/,Cherry Oil,"Concentrates, On Sale",,32.00
https://greenz.ca/product/nirvana-outdoor/,Nirvana (Green House),"Flower, Hybrid",gram,6.00
https://greenz.ca/product/nirvana-outdoor/,Nirvana (Green House),"Flower, Hybrid",28 grams,130.00
https://greenz.ca/product/purple-god/,Purple God,"Flower, Hybrid, Indica",gram,12.00
https://greenz.ca/product/purple-god/,Purple God,"Flower, Hybrid, Indica",28 grams,260.00
https://greenz.ca/product/blue-coma/,Blue Coma,"Flower, Hybrid",gram,10.00
https://greenz.ca/product/blue-coma/,Blue Coma,"Flower, Hybrid",28 grams,200.00
https://greenz.ca/product/dutch-hawaiian/,Dutch Hawaiian,"Flower, Sativa",gram,12.00
https://greenz.ca/product/dutch-hawaiian/,Dutch Hawaiian,"Flower, Sativa",28 grams,260.00
https://greenz.ca/product/lindsey-og-keif/,Strawberry OG Kief,"Concentrates, Hash",,10.00
https://greenz.ca/product/rockstar-3/,Gassy Rockstar,"Flower, Indica",gram,10.00
https://greenz.ca/product/rockstar-3/,Gassy Rockstar,"Flower, Indica",28 grams,220.00
https://greenz.ca/product/gelato-smalls/,Gelato Smalls,"Flower, Hybrid",gram,5.00
https://greenz.ca/product/green-crack-2/,Green Crack,"Flower, Sativa",gram,10.00
https://greenz.ca/product/green-crack-2/,Green Crack,"Flower, Sativa",28 grams,220.00
https://greenz.ca/product/quad-pink-kush-2/,Quad Pink Kush,"Flower, Indica",gram,13.00
https://greenz.ca/product/quad-pink-kush-2/,Quad Pink Kush,"Flower, Indica",28 grams,275.00
https://greenz.ca/product/girl-scout-cookie-rechargeable-honey-oil-cartridge/,Girl Scout Cookie Honey Oil Cartridge,"Vapes & Cartridges, Concentrates",,60.00
https://greenz.ca/product/lemon-haze-honey-oil-cartridge/,Lemon Haze Honey Oil Cartridge,"Concentrates, Vapes & Cartridges",,60.00
https://greenz.ca/product/granddaddy-purple-honey-oil-cartridge/,Granddaddy Purple Honey Oil Cartridge,"Vapes & Cartridges, Concentrates",,60.00
https://greenz.ca/product/cbd-tincture/,CBD Tincture,"CBD, Wellness",,190.00
https://greenz.ca/product/alien-og/,Alien OG,"Flower, Hybrid",gram,10.00
https://greenz.ca/product/alien-og/,Alien OG,"Flower, Hybrid",28 grams,200.00
https://greenz.ca/product/ytfc-rosin-variety-pack-solvent-free/,YTFC Rosin Variety Pack (Solvent Free),"Concentrates, On Sale, Rosin",,320.00
https://greenz.ca/product/og-kush-honey-oil-refill-cartridge/,OG Kush Honey Oil Refill Cartridge (1 Gram),"On Sale, Concentrates",,60.00
https://greenz.ca/product/lemon-haze-honey-oil-refill-cartridge-1-gram/,Lemon Haze Honey Oil Refill Cartridge (1 Gram),"Concentrates, On Sale",,60.00
https://greenz.ca/product/grapefruit-kush-limited-batch/,Grapefruit,"Flower, Sativa",gram,9.00
https://greenz.ca/product/grapefruit-kush-limited-batch/,Grapefruit,"Flower, Sativa",28 grams,190.00
https://greenz.ca/product/warming-deep-tissue-salve-thc-cbd/,Warming Deep Tissue Salve (THC / CBD 1:1),"Wellness, Topicals",,35.00
https://greenz.ca/product/afghani-hash-solventless/,Afghani Hash (Solventless),"Concentrates, Hash, On Sale",gram,18.00
https://greenz.ca/product/afghani-hash-solventless/,Afghani Hash (Solventless),"Concentrates, Hash, On Sale",28 grams,350.00
https://greenz.ca/product/sour-diesel-honey-oil-refill-cartridge-1-gram-2/,Sour Diesel Honey Oil Refill Cartridge (1 Gram),"On Sale, Concentrates",,60.00
https://greenz.ca/product/gassy-mk-ultra/,Quad MK Ultra,"Flower, Indica",gram,13.00
https://greenz.ca/product/gassy-mk-ultra/,Quad MK Ultra,"Flower, Indica",28 grams,275.00
https://greenz.ca/product/purple-god-shatter/,Purple God Shatter,"Concentrates, Shatter",,45.00
https://greenz.ca/product/platinum-og-honey-oil-cartridge/,Platinum OG Honey Oil Cartridge,"Vapes & Cartridges, Concentrates",,60.00
