url,name,categories,quantity,price
https://ocs.ca/products/napali-cbd-pre-roll-haven-st,No. 301 Napali CBD Pre-Roll,Pre-Rolled,,"from

$4.50 / pack"
https://ocs.ca/products/blueberry-kush-pre-roll-haven-st,No. 402 Blueberry Kush Pre-Roll,Pre-Rolled,,"from

$8.30 / pack"
https://ocs.ca/products/free-pre-roll,Free Pre-Roll,Pre-Rolled,,$5.00 / 1 roll
https://ocs.ca/products/balance-pre-roll,Balance Pre-Roll,Pre-Rolled,,$5.65 / 1 roll
https://ocs.ca/products/gather-pre-roll,Gather Pre-Roll,Pre-Rolled,,$5.65 / 1 roll
https://ocs.ca/products/unplug-pre-roll,Unplug Pre-Roll,Pre-Rolled,,"from

$5.65 / pack"
https://ocs.ca/products/renew-pre-roll-solei,Renew Pre-Roll,Pre-Rolled,,"from

$6.00 / pack"
https://ocs.ca/products/sense-pre-roll,Sense Pre-Roll,Pre-Rolled,,$6.00 / 1 roll
https://ocs.ca/products/the-batch-pre-roll,The Batch Pre-Roll,Pre-Rolled,,"from

$6.15 / pack"
https://ocs.ca/products/flicker-indica-pre-roll,Flicker Stix,Pre-Rolled,,$6.45 / 1 roll
https://ocs.ca/products/glow-hybrid-pre-roll,Glow Stix,Pre-Rolled,,$6.45 / 1 roll
https://ocs.ca/products/spark-sativa-pre-roll,Spark Stix,Pre-Rolled,,$6.45 / 1 roll
https://ocs.ca/products/no-407-sapphire-daze-pre-roll,No. 407 Sapphire Daze Pre-Roll,Pre-Rolled,,$7.15 / 1 roll
https://ocs.ca/products/free,Free,Dried Flower,1g,$7.50
https://ocs.ca/products/free,Free,Dried Flower,3.5g,$24.90
https://ocs.ca/products/free,Free,Dried Flower,7g,$47.25
https://ocs.ca/products/cali-o-northern-harvest,Cali-O,Dried Flower,1g,$7.50
https://ocs.ca/products/cali-o-northern-harvest,Cali-O,Dried Flower,3.5g,$24.90
https://ocs.ca/products/cali-o-northern-harvest,Cali-O,Dried Flower,7g,$47.25
https://ocs.ca/products/jean-guy-good-supply,Jean Guy,Dried Flower,1g,$7.50
https://ocs.ca/products/jean-guy-good-supply,Jean Guy,Dried Flower,3.5g,$24.90
