url,name,categories,quantity,price
https://weed-deals.ca/product/cannalope-haze/,Cannalope Kush,,pound,1750
https://weed-deals.ca/product/cannalope-haze/,Cannalope Kush,,half-pound,975
https://weed-deals.ca/product/cannalope-haze/,Cannalope Kush,,quarter-pound,525
https://weed-deals.ca/product/cannalope-haze/,Cannalope Kush,,ounce,170
https://weed-deals.ca/product/cannalope-haze/,Cannalope Kush,,quarter,55
https://weed-deals.ca/product/mango-strain/,Mango Dream,,ounce,185
https://weed-deals.ca/product/mango-strain/,Mango Dream,,pound,2050
https://weed-deals.ca/product/mango-strain/,Mango Dream,,half-pound,1050
https://weed-deals.ca/product/mango-strain/,Mango Dream,,quarter-pound,575
https://weed-deals.ca/product/mango-strain/,Mango Dream,,quarter,55
https://weed-deals.ca/product/18650-battery-canada/,WD Vaporizer Battery,,,20.00
https://weed-deals.ca/product/wholesale-cannabis-canada/,*NEW* Bulk Weed Menu,,
https://weed-deals.ca/product/buy-black-gas-strains/,STICKY ICKY GAS PACK,,,600.00
https://weed-deals.ca/product/buy-aaaa-weed/,Build Your Own PREMIUM Ounce Mix and Match,,,180.00
https://weed-deals.ca/product/buy-qp-of-weed/,Mix and Match 4oz QP DEAL,,,550.00
https://weed-deals.ca/product/buy-ice-cream-strain/,Ice Cream,,pound,2000
https://weed-deals.ca/product/buy-ice-cream-strain/,Ice Cream,,ounce,180
https://weed-deals.ca/product/buy-ice-cream-strain/,Ice Cream,,quarter,55
https://weed-deals.ca/product/buy-ice-cream-strain/,Ice Cream,,quarter-pound,575
https://weed-deals.ca/product/buy-ice-cream-strain/,Ice Cream,,half-pound,1050
https://weed-deals.ca/product/animal-cookies-strain/,Animal Cookies,,quarter,50
https://weed-deals.ca/product/animal-cookies-strain/,Animal Cookies,,ounce,155
https://weed-deals.ca/product/animal-cookies-strain/,Animal Cookies,,quarter-pound,550
https://weed-deals.ca/product/animal-cookies-strain/,Animal Cookies,,half-pound,1000
https://weed-deals.ca/product/animal-cookies-strain/,Animal Cookies,,pound,1850
https://weed-deals.ca/product/butterscotch-strain/,Butterscotch,,quarter,70
https://weed-deals.ca/product/butterscotch-strain/,Butterscotch,,ounce,225
https://weed-deals.ca/product/butterscotch-strain/,Butterscotch,,half-pound,1175
https://weed-deals.ca/product/butterscotch-strain/,Butterscotch,,quarter-pound,650
https://weed-deals.ca/product/butterscotch-strain/,Butterscotch,,pound,2300
https://weed-deals.ca/product/white-widow/,White Widow,,quarter,55
https://weed-deals.ca/product/white-widow/,White Widow,,oz,190
https://weed-deals.ca/product/white-widow/,White Widow,,half-pound,975
https://weed-deals.ca/product/white-widow/,White Widow,,1-pound,1900
https://weed-deals.ca/product/lemon-walker-og/,Lemon Walker,,Quarter,55
https://weed-deals.ca/product/lemon-walker-og/,Lemon Walker,,Ounce,175
https://weed-deals.ca/product/lemon-walker-og/,Lemon Walker,,Quarter Pound,550
https://weed-deals.ca/product/lemon-walker-og/,Lemon Walker,,Half Pound,1000
https://weed-deals.ca/product/lemon-walker-og/,Lemon Walker,,Pound,1850
https://weed-deals.ca/product/tuna-kush-pink/,Pink Tuna Kush,,Quarter,60
https://weed-deals.ca/product/tuna-kush-pink/,Pink Tuna Kush,,Ounce,200
https://weed-deals.ca/product/tuna-kush-pink/,Pink Tuna Kush,,Quarter Pound,600
https://weed-deals.ca/product/tuna-kush-pink/,Pink Tuna Kush,,Half Pound,1100
https://weed-deals.ca/product/tuna-kush-pink/,Pink Tuna Kush,,Pound,2100
https://weed-deals.ca/product/candy-cane-strain/,Candy Cane,,quarter,50
https://weed-deals.ca/product/candy-cane-strain/,Candy Cane,,ounce,125
https://weed-deals.ca/product/candy-cane-strain/,Candy Cane,,quarter-pound,450
https://weed-deals.ca/product/candy-cane-strain/,Candy Cane,,half-pound,850
https://weed-deals.ca/product/candy-cane-strain/,Candy Cane,,pound,1575
https://weed-deals.ca/product/island-pink-strain/,Island Pink Kush,,quarter,55
https://weed-deals.ca/product/island-pink-strain/,Island Pink Kush,,ounce,175
https://weed-deals.ca/product/island-pink-strain/,Island Pink Kush,,quarter-pound,550
https://weed-deals.ca/product/island-pink-strain/,Island Pink Kush,,half-pound,1000
https://weed-deals.ca/product/island-pink-strain/,Island Pink Kush,,pound,1850
https://weed-deals.ca/product/tahoe-og/,Tahoe OG,,quarter,50
https://weed-deals.ca/product/tahoe-og/,Tahoe OG,,ounce,175
https://weed-deals.ca/product/tahoe-og/,Tahoe OG,,quarter-pound,550
https://weed-deals.ca/product/tahoe-og/,Tahoe OG,,half-pound,950
https://weed-deals.ca/product/tahoe-og/,Tahoe OG,,pound,1850
https://weed-deals.ca/product/buy-cheap-shatter-online-canada/,Watermelon Shatter,,,55.00
https://weed-deals.ca/product/bruce-banner-strain/,Bruce Banner,,quarter,65
https://weed-deals.ca/product/bruce-banner-strain/,Bruce Banner,,quarter-pound,600
https://weed-deals.ca/product/bruce-banner-strain/,Bruce Banner,,oz,200
https://weed-deals.ca/product/bruce-banner-strain/,Bruce Banner,,1-pound,2100
https://weed-deals.ca/product/bruce-banner-strain/,Bruce Banner,,half-pound,1100
https://weed-deals.ca/product/bubba-kush/,Bubba Kush,,Quarter,50
https://weed-deals.ca/product/bubba-kush/,Bubba Kush,,Ounce,170
https://weed-deals.ca/product/bubba-kush/,Bubba Kush,,Quarter Pound,550
https://weed-deals.ca/product/bubba-kush/,Bubba Kush,,Half Pound,975
https://weed-deals.ca/product/fire-og/,Chem Fire OG,,Quarter,70
https://weed-deals.ca/product/fire-og/,Chem Fire OG,,Ounce,225
https://weed-deals.ca/product/fire-og/,Chem Fire OG,,Quarter Pound,700
https://weed-deals.ca/product/death-bubba/,Death Bubba OG,,quarter,60
https://weed-deals.ca/product/death-bubba/,Death Bubba OG,,ounce,190
https://weed-deals.ca/product/death-bubba/,Death Bubba OG,,quarter-pound,600
https://weed-deals.ca/product/death-bubba/,Death Bubba OG,,half-pound,1100
https://weed-deals.ca/product/death-bubba/,Death Bubba OG,,pound,2150
https://weed-deals.ca/product/la-kush-cake/,LA Kush Cake,,Half Pound,1050
https://weed-deals.ca/product/la-kush-cake/,LA Kush Cake,,Ounce,225
https://weed-deals.ca/product/la-kush-cake/,LA Kush Cake,,Quarter Pound,625
https://weed-deals.ca/product/pyro-extracts-distillate-cartridge/,Pyro Extracts Mix & Match DEAL,,,90.00
https://weed-deals.ca/product/bubblegum-kush/,Bubblegum Kush,,Pound,1850
https://weed-deals.ca/product/bubblegum-kush/,Bubblegum Kush,,Quarter,60
https://weed-deals.ca/product/bubblegum-kush/,Bubblegum Kush,,Ounce,180
https://weed-deals.ca/product/bubblegum-kush/,Bubblegum Kush,,Half Pound,1000
https://weed-deals.ca/product/bubblegum-kush/,Bubblegum Kush,,Quarter Pound,550
https://weed-deals.ca/product/shishkaberry/,Shishkaberry,,Half Pound,1050
https://weed-deals.ca/product/shishkaberry/,Shishkaberry,,Pound,1950
https://weed-deals.ca/product/shishkaberry/,Shishkaberry,,Quarter,60
https://weed-deals.ca/product/shishkaberry/,Shishkaberry,,Ounce,180
https://weed-deals.ca/product/shishkaberry/,Shishkaberry,,Quarter Pound,550
https://weed-deals.ca/product/pink-kush-strain/,Pink Kush,,quarter,50
https://weed-deals.ca/product/pink-kush-strain/,Pink Kush,,ounce,165
