url,name,categories,quantity,price
https://bcbud.store/product/low-key-distillate-vape/,LOW KEY – Discreet Vape,"distillate, Extracts, Medical Products and Accessories",,1.95 - 49.95
https://bcbud.store/product/zombie/,Zombie,"Flower, Indica",3-5-grams,32.23
https://bcbud.store/product/zombie/,Zombie,"Flower, Indica",7-grams,61.88
https://bcbud.store/product/zombie/,Zombie,"Flower, Indica",14-grams,108.29
https://bcbud.store/product/zombie/,Zombie,"Flower, Indica",28-grams,206.25
https://bcbud.store/product/baked-edibles-milkshake-mix/,Baked Edibles Milkshake Mix,"Candies, Chocolate, Edibles",,12.95
https://bcbud.store/product/banana-clips/,Banana Clips,"Flower, Indica",3-5-grams,26.65
https://bcbud.store/product/banana-clips/,Banana Clips,"Flower, Indica",7-grams,50.86
https://bcbud.store/product/banana-clips/,Banana Clips,"Flower, Indica",14-grams,96.88
https://bcbud.store/product/banana-clips/,Banana Clips,"Flower, Indica",28-grams,174.38
https://bcbud.store/product/bcb-cherry-oil/,BCB Cherry Oil,"Extracts, Oil",,19.95
https://bcbud.store/product/bcbud-store-not-named-cheap-ounce/,BCBud.store – NOT NAMED Cheap Ounce,"Flower, Hybrid, Indica, Sativa",,139.95
https://bcbud.store/product/black-bricks-hash/,Black Bricks Hash,"Hash, Hash and Keif",3-5-grams,39.06
https://bcbud.store/product/black-bricks-hash/,Black Bricks Hash,"Hash, Hash and Keif",7-grams,75.0
https://bcbud.store/product/black-bricks-hash/,Black Bricks Hash,"Hash, Hash and Keif",14-grams,131.25
https://bcbud.store/product/black-bricks-hash/,Black Bricks Hash,"Hash, Hash and Keif",28-grams,250.0
https://bcbud.store/product/blackberry/,Blackberry,"Flower, Indica",3-5-grams,35.15
https://bcbud.store/product/blackberry/,Blackberry,"Flower, Indica",7-grams,67.5
https://bcbud.store/product/blackberry/,Blackberry,"Flower, Indica",14-grams,75.0
https://bcbud.store/product/blackberry/,Blackberry,"Flower, Indica",28-grams,150.0
https://bcbud.store/product/blue-diablo/,Blue Diablo,"Flower, Indica",3-5-grams,38.09
https://bcbud.store/product/blue-diablo/,Blue Diablo,"Flower, Indica",7-grams,73.13
https://bcbud.store/product/blue-diablo/,Blue Diablo,"Flower, Indica",14-grams,127.97
https://bcbud.store/product/blue-diablo/,Blue Diablo,"Flower, Indica",28-grams,243.75
https://bcbud.store/product/boveda-62-rh-67-gram/,Boveda 62% RH – 67 gram,"Accessories, Medical Products and Accessories",,9.95
https://bcbud.store/product/bubba-kush/,Bubba Kush,"Flower, Indica",3-5-grams,32.66
https://bcbud.store/product/bubba-kush/,Bubba Kush,"Flower, Indica",7-grams,62.35
https://bcbud.store/product/bubba-kush/,Bubba Kush,"Flower, Indica",14-grams,118.76
https://bcbud.store/product/bubba-kush/,Bubba Kush,"Flower, Indica",28-grams,213.76
https://bcbud.store/product/bubble-hash-cups/,Bubble Hash Cups,"Hash, Hash and Keif",,84.75 - 400.00
https://bcbud.store/product/canna-co-indica-sativa-hybrid-cbd-thc-tinctures/,Canna Co. Indica/Sativa/Hybrid/CBD/THC Tinctures,"Edibles, Extracts, Tinctures",,39.95 - 44.95
https://bcbud.store/product/canna-co-soft-jelly-candies/,Canna Co. Soft Jelly Candies,"Candies, Edibles, Soft Candy",,8.95
https://bcbud.store/product/canna-cos-cookies/,Canna Co’s Cookies,"Baked Goods, Cookies, Edibles",,12.95
