url,name,categories,quantity,price
https://www.budexpressnow.ca/product/blue-dream/,Blue Dream,Sativa,3-5-grams,40.0
https://www.budexpressnow.ca/product/blue-dream/,Blue Dream,Sativa,7-grams,65.0
https://www.budexpressnow.ca/product/blue-dream/,Blue Dream,Sativa,14-grams,120.0
https://www.budexpressnow.ca/product/blue-dream/,Blue Dream,Sativa,28-grams,199.0
https://www.budexpressnow.ca/product/bxn-premium-pre-roll-sativa-mix-3-pack/,BXN Premium Pre-Roll (Hybrid Mix) – 3 Pack,Pre-Rolls,,12
https://www.budexpressnow.ca/product/thc-infused-gummy-bears/,THC INFUSED GUMMY BEARS,Extras,,20
https://www.budexpressnow.ca/product/bxn-premium-pre-roll-indica-mix-3-pack-2/,BXN Premium Pre-Roll (Indica Mix) – 3 Pack,Pre-Rolls,,12
https://www.budexpressnow.ca/product/thc-pheonix-tears-miss-envy/,PHEONIX TEARS (THC) – MISS ENVY,Oil Concentrates,,29
https://www.budexpressnow.ca/product/tucann-disposable-distillate-vape-pens/,TUCANN Disposable Distillate Vape Pens,Vapes,,50
https://www.budexpressnow.ca/product/sovrin-extracts-refill-cartridge/,SOVRIN EXTRACTS – REFILL CARTRIDGE,Vapes,,51-60
https://www.budexpressnow.ca/product/strawberry-cough/,Strawberry Cough,Sativa,3-5-grams,29.0
https://www.budexpressnow.ca/product/strawberry-cough/,Strawberry Cough,Sativa,7-grams,52.0
https://www.budexpressnow.ca/product/strawberry-cough/,Strawberry Cough,Sativa,14-grams,99.0
https://www.budexpressnow.ca/product/strawberry-cough/,Strawberry Cough,Sativa,28-grams,189.0
https://www.budexpressnow.ca/product/pineapple-express/,Pineapple Express,Balanced-Hybrids,3-5-grams,30.0
https://www.budexpressnow.ca/product/pineapple-express/,Pineapple Express,Balanced-Hybrids,7-grams,60.0
https://www.budexpressnow.ca/product/pineapple-express/,Pineapple Express,Balanced-Hybrids,14-grams,110.0
https://www.budexpressnow.ca/product/pineapple-express/,Pineapple Express,Balanced-Hybrids,28-grams,199.0
https://www.budexpressnow.ca/product/rechargeable-disposable-distillate-vape-pens-by-smoke-bombs/,Rechargeable Disposable Distillate Vape Pens by Smoke Bombs,Vapes,,45
https://www.budexpressnow.ca/product/ed-bills-watermelons-200mg/,Ed & Bills – Watermelons (200mg),Edibles,,25
https://www.budexpressnow.ca/product/ed-bills-sour-berries-200mg/,Ed & Bills – Sour Berries (200mg),Edibles,,25
https://www.budexpressnow.ca/product/ed-bills-coke-bottles-200mg/,Ed & Bills – Coke Bottles (200mg),Edibles,,30
