url,name,categories,quantity,price
https://ganjagrams.ca/product/aa-lemon-skittles/,(AA+) Lemon Skittles,"All, Cannabis Flowers, Flowers, New Products, Sativa",3.5 grams,25
https://ganjagrams.ca/product/aa-lemon-skittles/,(AA+) Lemon Skittles,"All, Cannabis Flowers, Flowers, New Products, Sativa",7 grams,45
https://ganjagrams.ca/product/aa-lemon-skittles/,(AA+) Lemon Skittles,"All, Cannabis Flowers, Flowers, New Products, Sativa",14 grams,80
https://ganjagrams.ca/product/aa-lemon-skittles/,(AA+) Lemon Skittles,"All, Cannabis Flowers, Flowers, New Products, Sativa",28 grams,150
https://ganjagrams.ca/product/watermelon-gummy-bears-by-shipwreck-edibles-150mg-thc/,Watermelon Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/aaa-strawberry-cough/,(AAA) Strawberry Cough,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",3.5 grams,30
https://ganjagrams.ca/product/aaa-strawberry-cough/,(AAA) Strawberry Cough,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",7 grams,55
https://ganjagrams.ca/product/aaa-strawberry-cough/,(AAA) Strawberry Cough,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",14 grams,100
https://ganjagrams.ca/product/aaa-strawberry-cough/,(AAA) Strawberry Cough,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",28 grams,180
https://ganjagrams.ca/product/aaa-death-star/,(AAA) Death Star,"All, Cannabis Flowers, Flowers, Hybrid, Indica, New Products",3.5 grams,30
https://ganjagrams.ca/product/aaa-death-star/,(AAA) Death Star,"All, Cannabis Flowers, Flowers, Hybrid, Indica, New Products",7 grams,55
https://ganjagrams.ca/product/aaa-death-star/,(AAA) Death Star,"All, Cannabis Flowers, Flowers, Hybrid, Indica, New Products",14 grams,100
https://ganjagrams.ca/product/aaa-death-star/,(AAA) Death Star,"All, Cannabis Flowers, Flowers, Hybrid, Indica, New Products",28 grams,180
https://ganjagrams.ca/product/aaa-og-kush-strain/,(AAA) OG Kush,"All, Cannabis Flowers, Flowers, Indica, New Products, Ounce Deals",28 grams,145
https://ganjagrams.ca/product/aaa-og-kush-strain/,(AAA) OG Kush,"All, Cannabis Flowers, Flowers, Indica, New Products, Ounce Deals",84 grams,400
https://ganjagrams.ca/product/aaa-death-tuna/,(AAA) Death Tuna,"All, Cannabis Flowers, Flowers, Indica, New Products",3.5 grams,30
https://ganjagrams.ca/product/aaa-death-tuna/,(AAA) Death Tuna,"All, Cannabis Flowers, Flowers, Indica, New Products",7 grams,50
https://ganjagrams.ca/product/aaa-death-tuna/,(AAA) Death Tuna,"All, Cannabis Flowers, Flowers, Indica, New Products",14 grams,90
https://ganjagrams.ca/product/aaa-death-tuna/,(AAA) Death Tuna,"All, Cannabis Flowers, Flowers, Indica, New Products",28 grams,170
https://ganjagrams.ca/product/variety-pack-gummy-bears-by-shipwreck-edibles-150mg-thc/,Variety Pack Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/peach-mango-gummy-bears-by-shipwreck-edibles-150mg-thc/,Peach Mango Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/key-lime-gummy-bears-by-shipwreck-edibles-150mg-thc/,Key Lime Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/grape-gummy-bears-by-shipwreck-edibles-150mg-thc/,Grape Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/cherry-gummy-bears-by-shipwreck-edibles-150mg-thc/,Cherry Gummy Bears by ShipWreck Edibles (150mg THC),"All, Edibles, Gummies, New Products",,15.00
https://ganjagrams.ca/product/aaaa-citrix/,(AAAA+) Citrix,"All, Cannabis Flowers, Flowers, Hybrid, New Products, Sativa",3.5 grams,35
https://ganjagrams.ca/product/aaaa-citrix/,(AAAA+) Citrix,"All, Cannabis Flowers, Flowers, Hybrid, New Products, Sativa",7 grams,65
https://ganjagrams.ca/product/aaaa-citrix/,(AAAA+) Citrix,"All, Cannabis Flowers, Flowers, Hybrid, New Products, Sativa",14 grams,120
https://ganjagrams.ca/product/aaaa-citrix/,(AAAA+) Citrix,"All, Cannabis Flowers, Flowers, Hybrid, New Products, Sativa",28 grams,220
https://ganjagrams.ca/product/aaa-mcgrupp/,(AAA+) McGrupp,"All, Cannabis Flowers, Flowers, Hybrid, Indica, On Sale!, Sativa",3.5 grams,35
https://ganjagrams.ca/product/aaa-mcgrupp/,(AAA+) McGrupp,"All, Cannabis Flowers, Flowers, Hybrid, Indica, On Sale!, Sativa",7 grams,60
https://ganjagrams.ca/product/aaa-mcgrupp/,(AAA+) McGrupp,"All, Cannabis Flowers, Flowers, Hybrid, Indica, On Sale!, Sativa",14 grams,110
https://ganjagrams.ca/product/aaa-mcgrupp/,(AAA+) McGrupp,"All, Cannabis Flowers, Flowers, Hybrid, Indica, On Sale!, Sativa",28 grams,200
https://ganjagrams.ca/product/diced-pineapples-by-faded-edibles-150mg-cbd/,Diced Pineapples by Faded Edibles (150mg CBD),"All, CBD, Edible, Edibles, Faded Cannabis Co, Gummies, New Products, Suppliers",,18.00
https://ganjagrams.ca/product/grapefruit-burst-by-faded-edibles-150mg-cbd/,Grapefruit Burst by Faded Edibles (150mg CBD),"All, CBD, Edible, Edibles, Faded Cannabis Co, Gummies, Suppliers",,18.00
https://ganjagrams.ca/product/blue-diesel-shatter/,Blue Diesel Shatter,"All, Budget Shatters, Concentrates, Shatter",2 grams,50
https://ganjagrams.ca/product/blue-diesel-shatter/,Blue Diesel Shatter,"All, Budget Shatters, Concentrates, Shatter",8 grams,190
https://ganjagrams.ca/product/blue-diesel-shatter/,Blue Diesel Shatter,"All, Budget Shatters, Concentrates, Shatter",16 grams,360
https://ganjagrams.ca/product/blue-diesel-shatter/,Blue Diesel Shatter,"All, Budget Shatters, Concentrates, Shatter",28 grams,540
https://ganjagrams.ca/product/trainwreck-diamond/,Trainwreck Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/red-congo-diamond/,Red Congo Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/jet-fuel-diamond/,Jet Fuel Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/grease-monkey-diamond/,Grease Monkey Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/gorilla-glue-4-diamond/,Gorilla Glue #4 Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/gelato-diamond/,Gelato Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/el-jefe-diamond/,El Jefe Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/blue-dream-diamond/,Blue Dream Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/alaskan-thunder-fuck-diamond/,Alaskan Thunder Fuck Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/24-karat-diamond/,24 Karat Diamond,"All, Concentrates, Extracts, Other, Sauce & Live Resin",,50.00
https://ganjagrams.ca/product/top-shelf-mix-match-28-grams/,Top Shelf Mix & Match (28 Grams),"All, Bundle Packs, Flowers, Hybrid, Indica, Mix & Match Flowers, Sativa",,250.00
https://ganjagrams.ca/product/aaaa-hempstar/,(AAAA) Hempstar,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",3.5 grams,35
https://ganjagrams.ca/product/aaaa-hempstar/,(AAAA) Hempstar,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",7 grams,65
https://ganjagrams.ca/product/aaaa-hempstar/,(AAAA) Hempstar,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",14 grams,125
https://ganjagrams.ca/product/aaaa-hempstar/,(AAAA) Hempstar,"All, Cannabis Flowers, Flowers, On Sale!, Sativa",28 grams,240
https://ganjagrams.ca/product/trainwreck-budder/,Trainwreck Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin",1 gram,30
https://ganjagrams.ca/product/trainwreck-budder/,Trainwreck Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin",3 grams,85
https://ganjagrams.ca/product/trainwreck-budder/,Trainwreck Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin",7 grams,195
https://ganjagrams.ca/product/trainwreck-budder/,Trainwreck Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin",14 grams,370
https://ganjagrams.ca/product/trainwreck-budder/,Trainwreck Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin",28 grams,700
https://ganjagrams.ca/product/mango-kush-shatter/,Mango Kush Shatter,"All, Budget Shatters, Concentrates, Shatter",2 grams,55
https://ganjagrams.ca/product/mango-kush-shatter/,Mango Kush Shatter,"All, Budget Shatters, Concentrates, Shatter",8 grams,210
https://ganjagrams.ca/product/mango-kush-shatter/,Mango Kush Shatter,"All, Budget Shatters, Concentrates, Shatter",16 grams,390
https://ganjagrams.ca/product/mango-kush-shatter/,Mango Kush Shatter,"All, Budget Shatters, Concentrates, Shatter",28 grams,560
https://ganjagrams.ca/product/space-queen-shatter/,Space Queen Shatter,"All, Budget Shatters, Concentrates, Shatter",4 grams,110
https://ganjagrams.ca/product/space-queen-shatter/,Space Queen Shatter,"All, Budget Shatters, Concentrates, Shatter",8 grams,210
https://ganjagrams.ca/product/space-queen-shatter/,Space Queen Shatter,"All, Budget Shatters, Concentrates, Shatter",16 grams,390
https://ganjagrams.ca/product/space-queen-shatter/,Space Queen Shatter,"All, Budget Shatters, Concentrates, Shatter",28 grams,560
https://ganjagrams.ca/product/fukushima-live-resin-by-high-voltage-extracts/,Fukushima Live Resin by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,50.00
https://ganjagrams.ca/product/wifi-og-live-resin-by-high-voltage-extracts/,WiFi OG Live Resin by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,50.00
https://ganjagrams.ca/product/space-queen-live-resin-by-high-voltage-extracts/,Space Queen Live Resin by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,50.00
https://ganjagrams.ca/product/mk-ultra-sauce-by-high-voltage-extracts/,MK Ultra Sauce by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,55.00
https://ganjagrams.ca/product/island-blend-sauce-by-high-voltage-extracts/,Island Blend Sauce by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,55.00
https://ganjagrams.ca/product/wifi-og-sauce-by-high-voltage-extracts/,WiFi OG Sauce by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,55.00
https://ganjagrams.ca/product/wedding-cake-by-high-voltage-extracts/,Wedding Cake Sauce by High Voltage Extracts,"All, Concentrates, High Voltage, Sauce & Live Resin, Suppliers",,55.00
https://ganjagrams.ca/product/premium-island-sweet-skunk/,(AAAA) Island Sweet Skunk,"All, Best Seller, Cannabis Flowers, Flowers, Sativa",3.5 grams,35
https://ganjagrams.ca/product/premium-island-sweet-skunk/,(AAAA) Island Sweet Skunk,"All, Best Seller, Cannabis Flowers, Flowers, Sativa",7 grams,65
https://ganjagrams.ca/product/premium-island-sweet-skunk/,(AAAA) Island Sweet Skunk,"All, Best Seller, Cannabis Flowers, Flowers, Sativa",14 grams,110
https://ganjagrams.ca/product/premium-island-sweet-skunk/,(AAAA) Island Sweet Skunk,"All, Best Seller, Cannabis Flowers, Flowers, Sativa",28 grams,200
https://ganjagrams.ca/product/aaa-alaskan-thunder-fuck-2/,(AAA) Alaskan Thunder Fuck,"All, Cannabis Flowers, Flowers, New Products, Sativa",3.5 grams,30
https://ganjagrams.ca/product/aaa-alaskan-thunder-fuck-2/,(AAA) Alaskan Thunder Fuck,"All, Cannabis Flowers, Flowers, New Products, Sativa",7 grams,50
https://ganjagrams.ca/product/aaa-alaskan-thunder-fuck-2/,(AAA) Alaskan Thunder Fuck,"All, Cannabis Flowers, Flowers, New Products, Sativa",14 grams,90
https://ganjagrams.ca/product/aaa-alaskan-thunder-fuck-2/,(AAA) Alaskan Thunder Fuck,"All, Cannabis Flowers, Flowers, New Products, Sativa",28 grams,170
https://ganjagrams.ca/product/pink-og-cartridge-by-zen-medical-cbd/,Pink OG Cartridge by Zen Medical (CBD),"All, CBD, Extracts, Hybrid Vape Pen, Indica Vape Pen, Other, Suppliers, Vape Pens, Zen Medical",,45.00
https://ganjagrams.ca/product/strawberries-cream-cartridge-by-zen-medical-sativa/,Strawberries & Cream Cartridge by Zen Medical (Distillate),"All, Distillate Vape Pen, Extracts, Hybrid Vape Pen, Indica Vape Pen, Other, Sativa Vape Pen, Suppliers, Vape Pens, Zen Medical",,40.00
https://ganjagrams.ca/product/sour-haze-cartridge-by-zen-medical-sativa/,Sour Haze Cartridge by Zen Medical (Distillate),"All, Distillate Vape Pen, Extracts, Hybrid Vape Pen, Indica Vape Pen, Other, Sativa Vape Pen, Suppliers, Vape Pens, Zen Medical",,40.00
https://ganjagrams.ca/product/orange-crush-shatter/,Orange Crush Shatter,"All, Budget Shatters, Concentrates, Extracts, Shatter",2 grams,55
https://ganjagrams.ca/product/orange-crush-shatter/,Orange Crush Shatter,"All, Budget Shatters, Concentrates, Extracts, Shatter",8 grams,210
https://ganjagrams.ca/product/orange-crush-shatter/,Orange Crush Shatter,"All, Budget Shatters, Concentrates, Extracts, Shatter",16 grams,390
https://ganjagrams.ca/product/orange-crush-shatter/,Orange Crush Shatter,"All, Budget Shatters, Concentrates, Extracts, Shatter",28 grams,560
https://ganjagrams.ca/product/white-cookies-budder/,White Cookies Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",1 gram,30
https://ganjagrams.ca/product/white-cookies-budder/,White Cookies Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",3 grams,85
https://ganjagrams.ca/product/white-cookies-budder/,White Cookies Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",7 grams,190
https://ganjagrams.ca/product/white-cookies-budder/,White Cookies Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",14 grams,360
https://ganjagrams.ca/product/white-cookies-budder/,White Cookies Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",28 grams,650
https://ganjagrams.ca/product/god-bud-budder/,God Bud Budder,"All, Budder, Concentrates",1 gram,30
https://ganjagrams.ca/product/god-bud-budder/,God Bud Budder,"All, Budder, Concentrates",3 grams,85
https://ganjagrams.ca/product/god-bud-budder/,God Bud Budder,"All, Budder, Concentrates",7 grams,190
https://ganjagrams.ca/product/god-bud-budder/,God Bud Budder,"All, Budder, Concentrates",14 grams,360
https://ganjagrams.ca/product/god-bud-budder/,God Bud Budder,"All, Budder, Concentrates",28 grams,650
https://ganjagrams.ca/product/blueberry-og-budder/,Blueberry OG Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",1 gram,30
https://ganjagrams.ca/product/blueberry-og-budder/,Blueberry OG Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",3 grams,85
https://ganjagrams.ca/product/blueberry-og-budder/,Blueberry OG Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",7 grams,190
https://ganjagrams.ca/product/blueberry-og-budder/,Blueberry OG Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",14 grams,360
https://ganjagrams.ca/product/blueberry-og-budder/,Blueberry OG Budder,"All, Budder, Concentrates, Extracts, Other, Sauce & Live Resin, Wax",28 grams,650
https://ganjagrams.ca/product/daily-cbd-sleep-full-spectrum-tincture-1500mg-cbd/,Daily CBD Sleep Full Spectrum Tincture (1500mg CBD),"All, CBD, Concentrates, Tinctures & Tears, Topicals & Tinctures",,120.00
https://ganjagrams.ca/product/jet-fuel-cartridge-by-zen-medical-2/,Jet Fuel Cartridge by Zen Medical (Sativa),"All, Extracts, Other, Sativa Vape Pen, Suppliers, Vape Pens, Zen Medical",,45.00
https://ganjagrams.ca/product/fire-og-cartridge-by-zen-medical-cbd/,Purple Mango Cartridge by Zen Medical (CBD),"All, CBD, Extracts, On Sale!, Other, Sativa Vape Pen, Suppliers, Vape Pens, Zen Medical",,40.00
https://ganjagrams.ca/product/pure-cbd-isolate-powder-99-9/,Pure CBD Isolate Powder 99.9%,"All, CBD, Edible, Topicals & Tinctures",,30.00
https://ganjagrams.ca/product/pure-cbd-isolate-powder-99-9/,Pure CBD Isolate Powder 99.9%,"All, CBD, Edible, Topicals & Tinctures",,150.00
https://ganjagrams.ca/product/natural-cbd-full-spectrum-tincture-750mg-cbd/,Daily CBD Full Spectrum Tincture (750mg CBD),"All, CBD, Concentrates, Tinctures & Tears, Topicals & Tinctures",,70.00
https://ganjagrams.ca/product/aaaa-death-bubba-2/,(AAAA) Death Bubba,"All, Cannabis Flowers, Flowers, Indica, On Sale!",3.5 grams,35
https://ganjagrams.ca/product/aaaa-death-bubba-2/,(AAAA) Death Bubba,"All, Cannabis Flowers, Flowers, Indica, On Sale!",7 grams,65
https://ganjagrams.ca/product/aaaa-death-bubba-2/,(AAAA) Death Bubba,"All, Cannabis Flowers, Flowers, Indica, On Sale!",14 grams,125
https://ganjagrams.ca/product/aaaa-death-bubba-2/,(AAAA) Death Bubba,"All, Cannabis Flowers, Flowers, Indica, On Sale!",28 grams,240
https://ganjagrams.ca/product/purple-space-cookies-pre-rolled-joints/,(AAAA) Purple Space Cookies Pre Rolled Joints,"All, Pre Rolled Joints",5,35
https://ganjagrams.ca/product/purple-space-cookies-pre-rolled-joints/,(AAAA) Purple Space Cookies Pre Rolled Joints,"All, Pre Rolled Joints",10,60
https://ganjagrams.ca/product/purple-space-cookies-pre-rolled-joints/,(AAAA) Purple Space Cookies Pre Rolled Joints,"All, Pre Rolled Joints",20,100
https://ganjagrams.ca/product/gorilla-glue-4-strain/,(AAA) Gorilla Glue #4,"All, Cannabis Flowers, Flowers, Hybrid, Indica, New Products, Sativa",3.5 grams,30
