url,name,categories,quantity,price
https://herbapproach.com/product/mcgrupp-7g-special/,McGrupp (7g Special),"420 Special, Flash Deal, Flower Mix-N-Match 7g",,100.00
https://herbapproach.com/product/lottery-halloween-party-pack/,Lottery – Halloween Party Pack,Flash Deal,,66.00
https://herbapproach.com/product/wedding-cake-28g-special/,Wedding Cake (28g Special),"Flash Deal, Flower Mix-N-Match 28g",,190.00
https://herbapproach.com/product/girl-scout-cookies-28g-special/,Girl Scout Cookies (28g Special),"Flash Deal, Flower 2 for $300, Flower Mix-N-Match 28g",,180.00
https://herbapproach.com/product/build-your-own-ounce/,Build Your Own Ounce,"Flash Deal, Flowers, Hybrid, Indica, Packs, Sativa",,180.00
https://herbapproach.com/product/jack-diesel-14g-special/,Jack Diesel (14g Special),"Flash Deal, Flower Mix-N-Match 14g",,90.00
https://herbapproach.com/product/halloween-party-pack/,Halloween Party Pack,Flash Deal,,180.00
https://herbapproach.com/product/xj-13/,XJ 13,"Flowers, Sativa",2.0 Grams,$22
https://herbapproach.com/product/xj-13/,XJ 13,"Flowers, Sativa",3.5 Grams,$33
https://herbapproach.com/product/xj-13/,XJ 13,"Flowers, Sativa",7.0 Grams,$66
https://herbapproach.com/product/xj-13/,XJ 13,"Flowers, Sativa",28 Grams,$260
https://herbapproach.com/product/cbd-starter-pack/,CBD Starter Pack,"Flash Deal, Packs",,165.00
https://herbapproach.com/product/mcgrupp-14g-special/,McGrupp (14g Special),"420 Special, Flash Deal, Flower Mix-N-Match 14g",,85.00
https://herbapproach.com/product/jack-diesel/,Jack Diesel,"Flowers, Sativa",2.0 Grams,$22
https://herbapproach.com/product/jack-diesel/,Jack Diesel,"Flowers, Sativa",3.5 Grams,$33
https://herbapproach.com/product/jack-diesel/,Jack Diesel,"Flowers, Sativa",7.0 Grams,$66
https://herbapproach.com/product/jack-diesel/,Jack Diesel,"Flowers, Sativa",28 Grams,$260
https://herbapproach.com/product/romulan-strain/,Romulan,"Flowers, Indica",2.0 Grams,$24
https://herbapproach.com/product/romulan-strain/,Romulan,"Flowers, Indica",3.5 Grams,$36
https://herbapproach.com/product/romulan-strain/,Romulan,"Flowers, Indica",7.0 Grams,$72
https://herbapproach.com/product/romulan-strain/,Romulan,"Flowers, Indica",14 Grams,$144
https://herbapproach.com/product/romulan-strain/,Romulan,"Flowers, Indica",28 Grams,$280
https://herbapproach.com/product/white-widow-strain/,White Widow,"Flowers, Hybrid",2.0 Grams,$24
https://herbapproach.com/product/white-widow-strain/,White Widow,"Flowers, Hybrid",3.5 Grams,$36
https://herbapproach.com/product/white-widow-strain/,White Widow,"Flowers, Hybrid",7.0 Grams,$72
https://herbapproach.com/product/white-widow-strain/,White Widow,"Flowers, Hybrid",14 Grams,$144
https://herbapproach.com/product/white-widow-strain/,White Widow,"Flowers, Hybrid",28 Grams,$280
https://herbapproach.com/product/fruity-pebbles-og/,Fruity Pebbles OG,"Flowers, Hybrid",2.0 Grams,$22
https://herbapproach.com/product/fruity-pebbles-og/,Fruity Pebbles OG,"Flowers, Hybrid",3.5 Grams,$33
https://herbapproach.com/product/fruity-pebbles-og/,Fruity Pebbles OG,"Flowers, Hybrid",7.0 Grams,$66
https://herbapproach.com/product/fruity-pebbles-og/,Fruity Pebbles OG,"Flowers, Hybrid",14 Grams,$132
https://herbapproach.com/product/fruity-pebbles-og/,Fruity Pebbles OG,"Flowers, Hybrid",28 Grams,$260
https://herbapproach.com/product/acapulco-gold/,Acapulco Gold,"Flowers, Hybrid, Sativa",2.0 Grams,$22
https://herbapproach.com/product/acapulco-gold/,Acapulco Gold,"Flowers, Hybrid, Sativa",3.5 Grams,$33
https://herbapproach.com/product/acapulco-gold/,Acapulco Gold,"Flowers, Hybrid, Sativa",7.0 Grams,$66
https://herbapproach.com/product/acapulco-gold/,Acapulco Gold,"Flowers, Hybrid, Sativa",14 Grams,$132
https://herbapproach.com/product/acapulco-gold/,Acapulco Gold,"Flowers, Hybrid, Sativa",28 Grams,$260
https://herbapproach.com/product/quantum-kush-strain/,Quantum Kush,"Flowers, Sativa",2.0 Grams,$24
https://herbapproach.com/product/quantum-kush-strain/,Quantum Kush,"Flowers, Sativa",3.5 Grams,$36
https://herbapproach.com/product/quantum-kush-strain/,Quantum Kush,"Flowers, Sativa",7.0 Grams,$72
https://herbapproach.com/product/quantum-kush-strain/,Quantum Kush,"Flowers, Sativa",14 Grams,$144
https://herbapproach.com/product/quantum-kush-strain/,Quantum Kush,"Flowers, Sativa",28 Grams,$280
https://herbapproach.com/product/black-tuna/,Black Tuna,"Flowers, Hybrid",2.0 Grams,$24
