url,name,categories,quantity,price
https://www.kingtuts.ca/product/chocolope-kush-balanced-hybrid-aaa/,CHOCOLOPE KUSH – BALANCED HYBRID – (AAA),Specials,,117.00
https://www.kingtuts.ca/product/blue-cindy-sativa-aaa/,BLUE CINDY – SATIVA – (AAA),Specials,,117.00
https://www.kingtuts.ca/product/gelato-balanced-hybrid-aaa-bulk/,GELATO – BALANCED HYBRID – (AAA) – BULK,Flower,1\/4 lb,459
https://www.kingtuts.ca/product/gelato-balanced-hybrid-aaa-bulk/,GELATO – BALANCED HYBRID – (AAA) – BULK,Flower,1 lb,1699
https://www.kingtuts.ca/product/medi-hash-balanced-hybrid-aa-bulk/,MEDI HASH – BALANCED HYBRID – (AA) – BULK,Local/Imported Hash,1\/4 lb,529
https://www.kingtuts.ca/product/medi-hash-balanced-hybrid-aa-bulk/,MEDI HASH – BALANCED HYBRID – (AA) – BULK,Local/Imported Hash,1\/2 lb,999
https://www.kingtuts.ca/product/medi-hash-balanced-hybrid-aa-bulk/,MEDI HASH – BALANCED HYBRID – (AA) – BULK,Local/Imported Hash,1 lb,1949
https://www.kingtuts.ca/product/gelato-smalls-indica-sativa-aaa/,GELATO (SMALLS) – BALANCED HYBRID – (AAA),Specials,,99.00
https://www.kingtuts.ca/product/northern-soul-indica-aa-green-house-grown/,NORTHERN SOUL – INDICA – (AA) – (GREEN HOUSE GROWN),Ounce Deals Flower,,89.00
https://www.kingtuts.ca/product/master-kush-indica-aaa/,MASTER KUSH – INDICA – (AAA),Specials,,117.00
https://www.kingtuts.ca/product/master-kush-smalls-indica-aaa/,MASTER KUSH (SMALLS) – INDICA – (AAA),Ounce Deals Flower,,99.00
https://www.kingtuts.ca/product/gelato-indica-sativa-aaa/,GELATO – BALANCED HYBRID – (AAA),Specials,,127.00
https://www.kingtuts.ca/product/4-5gm-darth-vader-og-shatter-indica-sativa-aaaa/,4.5gm- DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA),Shatter,,99.00
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa-bulk/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA) -BULK,Shatter,1oz,469
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa-bulk/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA) -BULK,Shatter,2oz,859
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa-bulk/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA) -BULK,Shatter,4oz,1529
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA),Shatter,14g,249
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA),Shatter,1g,27
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA),Shatter,3.5g,79
https://www.kingtuts.ca/product/darth-vader-og-shatter-indica-sativa-aaaa/,DARTH VADER OG – (SHATTER) – BALANCED HYBRID – (AAAA),Shatter,7g,135
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa-bulk/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA) – BULK,Bulk Shatter,1oz,469
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa-bulk/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA) – BULK,Bulk Shatter,2oz,859
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa-bulk/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA) – BULK,Bulk Shatter,4oz,1529
https://www.kingtuts.ca/product/4-5gm-sunset-sherbet-shatter-indica-aaaa/,4.5gm – SUNSET SHERBET – (SHATTER) – INDICA – (AAAA),Shatter,,99.00
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA),Indica,1g,27
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA),Indica,3.5g,79
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA),Indica,7g,135
https://www.kingtuts.ca/product/sunset-sherbet-shatter-indica-aaaa/,SUNSET SHERBET – (SHATTER) – INDICA – (AAAA),Indica,14g,249
https://www.kingtuts.ca/product/king-tuts-pressed-hash-indica-sativa-aa/,KING TUTS PRESSED HASH – BALANCED HYBRID – (AA),Local/Imported Hash,3.5g,25
https://www.kingtuts.ca/product/king-tuts-pressed-hash-indica-sativa-aa/,KING TUTS PRESSED HASH – BALANCED HYBRID – (AA),Local/Imported Hash,7g,45
https://www.kingtuts.ca/product/king-tuts-pressed-hash-indica-sativa-aa/,KING TUTS PRESSED HASH – BALANCED HYBRID – (AA),Local/Imported Hash,14g,79
https://www.kingtuts.ca/product/king-tuts-pressed-hash-indica-sativa-aa/,KING TUTS PRESSED HASH – BALANCED HYBRID – (AA),Local/Imported Hash,28g,139
https://www.kingtuts.ca/product/mendo-breath-indica-aaaa/,MENDO BREATH – INDICA – (AAAA),New Arrivals,3.5g,29
https://www.kingtuts.ca/product/mendo-breath-indica-aaaa/,MENDO BREATH – INDICA – (AAAA),New Arrivals,7g,49
https://www.kingtuts.ca/product/mendo-breath-indica-aaaa/,MENDO BREATH – INDICA – (AAAA),New Arrivals,14g,85
https://www.kingtuts.ca/product/mendo-breath-indica-aaaa/,MENDO BREATH – INDICA – (AAAA),New Arrivals,28g,169
https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa/,PINE TAR KUSH – INDICA – (AAA),Indica,3.5g,28
https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa/,PINE TAR KUSH – INDICA – (AAA),Indica,7g,48
https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa/,PINE TAR KUSH – INDICA – (AAA),Indica,14g,84
https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa/,PINE TAR KUSH – INDICA – (AAA),Indica,28g,159
https://www.kingtuts.ca/product/pine-tar-kush-indica-aaa-bulk/,PINE TAR KUSH – INDICA – (AAA) – BULK,Indica,,out of stock
https://www.kingtuts.ca/product/grease-monkey-indica-aaaa/,GREASE MONKEY- INDICA – (AAAA),Indica,,out of stock
https://www.kingtuts.ca/product/rockstar-smalls-indica-sativa-aa/,ROCKSTAR (SMALLS) – BALANCED HYBRID – (AA),Balanced-Hybrid,14gr,69
https://www.kingtuts.ca/product/rockstar-smalls-indica-sativa-aa/,ROCKSTAR (SMALLS) – BALANCED HYBRID – (AA),Balanced-Hybrid,28gr,119
https://www.kingtuts.ca/product/northern-soul-indica-aa-green-house-grown-bulk/,NORTHERN SOUL – INDICA – (AA) – (GREEN HOUSE GROWN) – BULK,Indica,1\/2 lb,639
https://www.kingtuts.ca/product/northern-soul-indica-aa-green-house-grown-bulk/,NORTHERN SOUL – INDICA – (AA) – (GREEN HOUSE GROWN) – BULK,Indica,1 lb,1239
https://www.kingtuts.ca/product/og-kush-indica-sativa-aaa-bulk/,OG KUSH – BALANCED HYBRID – (AAA) BULK,Flower,,out of stock
https://www.kingtuts.ca/product/gods-green-crack-indica-sativa-aaa-bulk/,GOD’S GREEN CRACK – BALANCED HYBRID – (AAA) BULK,Bulk Flower,,out of stock
https://www.kingtuts.ca/product/citrique-sativa-aaa-bulk/,CITRIQUE – SATIVA – (AAA) BULK,Bulk Flower,,out of stock
https://www.kingtuts.ca/product/diesel-sativa-aa-99/,DIESEL – SATIVA – (AA),Specials,,out of stock
https://www.kingtuts.ca/product/king-tuts-trim/,KING TUTS TRIM (2 OUNCES),Ounce Deals Flower,2oz,69
https://www.kingtuts.ca/product/gorilla-bomb-indica-sativa-aaaa/,GORILLA BOMB – BALANCED HYBRID – (AAAA),New Arrivals,3.5g,29
https://www.kingtuts.ca/product/gorilla-bomb-indica-sativa-aaaa/,GORILLA BOMB – BALANCED HYBRID – (AAAA),New Arrivals,7g,49
https://www.kingtuts.ca/product/gorilla-bomb-indica-sativa-aaaa/,GORILLA BOMB – BALANCED HYBRID – (AAAA),New Arrivals,14g,85
https://www.kingtuts.ca/product/gorilla-bomb-indica-sativa-aaaa/,GORILLA BOMB – BALANCED HYBRID – (AAAA),New Arrivals,28g,169
https://www.kingtuts.ca/product/cheese-quake-indica-sativa-aaa/,CHEESE QUAKE – BALANCED HYBRID – (AAA),Flower,,out of stock
https://www.kingtuts.ca/product/big-smooth-indica-aaa/,BIG SMOOTH – INDICA – (AAA),Indica,,out of stock
https://www.kingtuts.ca/product/diamond-og-indica-aaa/,DIAMOND OG – INDICA – (AAA),Indica,,out of stock
https://www.kingtuts.ca/product/mixed-smalls/,MIXED SMALLS,Ounce Deals Flower,28g,99
https://www.kingtuts.ca/product/citrique-sativa-aaa/,CITRIQUE – SATIVA – (AAA),Sativa,,out of stock
https://www.kingtuts.ca/product/bubba-hash-indica-aaa/,BUBBA HASH – INDICA – (AAA),Indica,,out of stock
https://www.kingtuts.ca/product/violator-kush-indica-aaa-bulk/,VIOLATOR KUSH – INDICA – (AAA)- BULK,Bulk Flower,1\/4 lb,599
https://www.kingtuts.ca/product/violator-kush-indica-aaa-bulk/,VIOLATOR KUSH – INDICA – (AAA)- BULK,Bulk Flower,1\/2 lb,1149
https://www.kingtuts.ca/product/violator-kush-indica-aaa-bulk/,VIOLATOR KUSH – INDICA – (AAA)- BULK,Bulk Flower,1 lb,1999
https://www.kingtuts.ca/product/violator-kush-indica-aaa/,VIOLATOR KUSH – INDICA – (AAA),Indica,3.5gr,29
https://www.kingtuts.ca/product/violator-kush-indica-aaa/,VIOLATOR KUSH – INDICA – (AAA),Indica,7gr,49
https://www.kingtuts.ca/product/violator-kush-indica-aaa/,VIOLATOR KUSH – INDICA – (AAA),Indica,14gr,85
https://www.kingtuts.ca/product/violator-kush-indica-aaa/,VIOLATOR KUSH – INDICA – (AAA),Indica,28gr,169
https://www.kingtuts.ca/product/gods-green-crack-indica-sativa-aaa/,GOD’S GREEN CRACK – BALANCED HYBRID – (AAA),Balanced-Hybrid,3.5g,28
https://www.kingtuts.ca/product/gods-green-crack-indica-sativa-aaa/,GOD’S GREEN CRACK – BALANCED HYBRID – (AAA),Balanced-Hybrid,7g,47
https://www.kingtuts.ca/product/gods-green-crack-indica-sativa-aaa/,GOD’S GREEN CRACK – BALANCED HYBRID – (AAA),Balanced-Hybrid,14g,82
https://www.kingtuts.ca/product/gods-green-crack-indica-sativa-aaa/,GOD’S GREEN CRACK – BALANCED HYBRID – (AAA),Balanced-Hybrid,28g,155
https://www.kingtuts.ca/product/medi-hash-indica-sativa-aa/,MEDI HASH – BALANCED HYBRID – (AA),Specials,1g,9
https://www.kingtuts.ca/product/medi-hash-indica-sativa-aa/,MEDI HASH – BALANCED HYBRID – (AA),Specials,3.5g,29
https://www.kingtuts.ca/product/medi-hash-indica-sativa-aa/,MEDI HASH – BALANCED HYBRID – (AA),Specials,7g,55
https://www.kingtuts.ca/product/medi-hash-indica-sativa-aa/,MEDI HASH – BALANCED HYBRID – (AA),Specials,14g,89
https://www.kingtuts.ca/product/medi-hash-indica-sativa-aa/,MEDI HASH – BALANCED HYBRID – (AA),Specials,28g,139
https://www.kingtuts.ca/product/diamond-hash-indica-sativa-aa/,DIAMOND HASH – BALANCED HYBRID – (AA),Local/Imported Hash,1g,9
https://www.kingtuts.ca/product/diamond-hash-indica-sativa-aa/,DIAMOND HASH – BALANCED HYBRID – (AA),Local/Imported Hash,3.5g,29
https://www.kingtuts.ca/product/diamond-hash-indica-sativa-aa/,DIAMOND HASH – BALANCED HYBRID – (AA),Local/Imported Hash,7g,55
https://www.kingtuts.ca/product/diamond-hash-indica-sativa-aa/,DIAMOND HASH – BALANCED HYBRID – (AA),Local/Imported Hash,14g,89
https://www.kingtuts.ca/product/diamond-hash-indica-sativa-aa/,DIAMOND HASH – BALANCED HYBRID – (AA),Local/Imported Hash,28g,159
https://www.kingtuts.ca/product/uk-cheese-indica-aaa/,UK CHEESE – INDICA – (AAA),Ounce Deals Flower,,out of stock
https://www.kingtuts.ca/product/og-kush-indica-sativa-aaa/,OG KUSH – BALANCED HYBRID – (AAA),Balanced-Hybrid,3.5g,28
https://www.kingtuts.ca/product/og-kush-indica-sativa-aaa/,OG KUSH – BALANCED HYBRID – (AAA),Balanced-Hybrid,7g,47
https://www.kingtuts.ca/product/og-kush-indica-sativa-aaa/,OG KUSH – BALANCED HYBRID – (AAA),Balanced-Hybrid,14g,82
https://www.kingtuts.ca/product/og-kush-indica-sativa-aaa/,OG KUSH – BALANCED HYBRID – (AAA),Balanced-Hybrid,28g,155
https://www.kingtuts.ca/product/nuken-indica-aaa-bulk/,NUKEN – INDICA – (AAA) – BULK,Bulk Flower,,out of stock
https://www.kingtuts.ca/product/nuken-indica-aaa/,NUKEN – INDICA – (AAA),Indica,3.5gr,27
https://www.kingtuts.ca/product/nuken-indica-aaa/,NUKEN – INDICA – (AAA),Indica,7gr,45
https://www.kingtuts.ca/product/nuken-indica-aaa/,NUKEN – INDICA – (AAA),Indica,14gr,79
https://www.kingtuts.ca/product/nuken-indica-aaa/,NUKEN – INDICA – (AAA),Indica,28gr,149
https://www.kingtuts.ca/product/dream-lotus-indica-sativa-aaa/,DREAM LOTUS – BALANCED HYBRID – (AAA),Balanced-Hybrid,,out of stock
https://www.kingtuts.ca/product/twisted-extracts-blue-raspberry-11-zzz-bomb-40mg-thc-40mg-cbd/,TWISTED EXTRACTS BLUE RASPBERRY 1:1 ZZZ BOMB – (40mg INDICA THC/40mg CBD),Twisted Extracts,,11.95
