url,name,categories,quantity,price
https://www.speedgreens.ca/product/purple-kush-smalls-aaa/,Purple Kush (smalls) (AAA),"AAA, Cannabis, Indica",3-5gms,28
https://www.speedgreens.ca/product/purple-kush-smalls-aaa/,Purple Kush (smalls) (AAA),"AAA, Cannabis, Indica",7gms,50
https://www.speedgreens.ca/product/purple-kush-smalls-aaa/,Purple Kush (smalls) (AAA),"AAA, Cannabis, Indica",14gms,95
https://www.speedgreens.ca/product/purple-kush-smalls-aaa/,Purple Kush (smalls) (AAA),"AAA, Cannabis, Indica",28gms,175
https://www.speedgreens.ca/product/black-roses-aaaa/,Black Roses (AAAA),"AAAA, Cannabis, Indica, Top Shelf",3-5gms,40
https://www.speedgreens.ca/product/black-roses-aaaa/,Black Roses (AAAA),"AAAA, Cannabis, Indica, Top Shelf",7gms,75
https://www.speedgreens.ca/product/black-roses-aaaa/,Black Roses (AAAA),"AAAA, Cannabis, Indica, Top Shelf",14gms,140
https://www.speedgreens.ca/product/black-roses-aaaa/,Black Roses (AAAA),"AAAA, Cannabis, Indica, Top Shelf",28gms,255
https://www.speedgreens.ca/product/sky-walker-og-aaaa/,Skywalker OG (AAAA),"AAAA, Cannabis, Indica, Top Shelf",3-5gms,40
https://www.speedgreens.ca/product/sky-walker-og-aaaa/,Skywalker OG (AAAA),"AAAA, Cannabis, Indica, Top Shelf",7gms,75
https://www.speedgreens.ca/product/sky-walker-og-aaaa/,Skywalker OG (AAAA),"AAAA, Cannabis, Indica, Top Shelf",14gms,140
https://www.speedgreens.ca/product/sky-walker-og-aaaa/,Skywalker OG (AAAA),"AAAA, Cannabis, Indica, Top Shelf",28gms,255
https://www.speedgreens.ca/product/canna-co-medibles-sleepy-time-cookies-indica-200mg-thc/,Canna Co. Medibles Sleepy Time Cookies Indica (200mg THC),"Baked Goods, Edibles",,14.00
https://www.speedgreens.ca/product/four-star-general-aaaa/,Four Star General (AAAA),"AAAA, Cannabis, Indica, Top Shelf",3-5gms,40
https://www.speedgreens.ca/product/four-star-general-aaaa/,Four Star General (AAAA),"AAAA, Cannabis, Indica, Top Shelf",7gms,75
https://www.speedgreens.ca/product/four-star-general-aaaa/,Four Star General (AAAA),"AAAA, Cannabis, Indica, Top Shelf",14gms,140
https://www.speedgreens.ca/product/four-star-general-aaaa/,Four Star General (AAAA),"AAAA, Cannabis, Indica, Top Shelf",28gms,260
https://www.speedgreens.ca/product/raw-organic-hemp-kingsize-slim-rolling-papers/,RAW Organic Hemp Kingsize Slim Rolling Papers,"Accessories, Rolling Papers",,3.50
https://www.speedgreens.ca/product/raw-classic-kingsize-slim-rolling-papers/,RAW Classic Kingsize Slim Rolling Papers,"Accessories, Rolling Papers",,3.25
https://www.speedgreens.ca/product/harlequin-smalls-aa/,Harlequin (smalls) (AA),"AA, Cannabis, Sale Products, Sativa",3-5gms,25
https://www.speedgreens.ca/product/harlequin-smalls-aa/,Harlequin (smalls) (AA),"AA, Cannabis, Sale Products, Sativa",7gms,45
https://www.speedgreens.ca/product/harlequin-smalls-aa/,Harlequin (smalls) (AA),"AA, Cannabis, Sale Products, Sativa",14gms,68
https://www.speedgreens.ca/product/harlequin-smalls-aa/,Harlequin (smalls) (AA),"AA, Cannabis, Sale Products, Sativa",28gms,119
https://www.speedgreens.ca/product/harlequin-aa/,Harlequin (AA+),"AA, Cannabis, CBD, Sale Products, Sativa",3-5gms,26
https://www.speedgreens.ca/product/harlequin-aa/,Harlequin (AA+),"AA, Cannabis, CBD, Sale Products, Sativa",7gms,47
https://www.speedgreens.ca/product/harlequin-aa/,Harlequin (AA+),"AA, Cannabis, CBD, Sale Products, Sativa",14gms,72
https://www.speedgreens.ca/product/harlequin-aa/,Harlequin (AA+),"AA, Cannabis, CBD, Sale Products, Sativa",28gms,130
https://www.speedgreens.ca/product/elements-magnetic-rolling-papers-2/,Elements Magnetic Rolling Papers,"Accessories, Rolling Papers",,2.50
https://www.speedgreens.ca/product/pure-hemp-single-wide-rolling-papers/,Pure Hemp Single WIde Rolling Papers,"Accessories, Rolling Papers",,2.00
https://www.speedgreens.ca/product/raw-tips-pre-rolled-natural/,RAW Tips (pre-rolled natural),"Accessories, Rolling Papers",,1.00
https://www.speedgreens.ca/product/blueberry-grape-ape-aaa/,Blueberry Grape Ape (AAA),"AAA, Balanced-Hybrid, Cannabis",3-5gms,28
https://www.speedgreens.ca/product/blueberry-grape-ape-aaa/,Blueberry Grape Ape (AAA),"AAA, Balanced-Hybrid, Cannabis",7gms,50
https://www.speedgreens.ca/product/blueberry-grape-ape-aaa/,Blueberry Grape Ape (AAA),"AAA, Balanced-Hybrid, Cannabis",14gms,95
https://www.speedgreens.ca/product/blueberry-grape-ape-aaa/,Blueberry Grape Ape (AAA),"AAA, Balanced-Hybrid, Cannabis",28gms,175
https://www.speedgreens.ca/product/super-lemon-cookie-dough-aaaa/,Super Lemon Cookie Dough (AAAA),"AAAA, Cannabis, Indica",3-5gms,35
https://www.speedgreens.ca/product/super-lemon-cookie-dough-aaaa/,Super Lemon Cookie Dough (AAAA),"AAAA, Cannabis, Indica",7gms,65
https://www.speedgreens.ca/product/super-lemon-cookie-dough-aaaa/,Super Lemon Cookie Dough (AAAA),"AAAA, Cannabis, Indica",14gms,120
https://www.speedgreens.ca/product/super-lemon-cookie-dough-aaaa/,Super Lemon Cookie Dough (AAAA),"AAAA, Cannabis, Indica",28gms,225
https://www.speedgreens.ca/product/blueberry-muffins-aaaa/,Blueberry Muffins (AAAA),"AAAA, Cannabis, Indica",3-5gms,35
https://www.speedgreens.ca/product/blueberry-muffins-aaaa/,Blueberry Muffins (AAAA),"AAAA, Cannabis, Indica",7gms,65
https://www.speedgreens.ca/product/blueberry-muffins-aaaa/,Blueberry Muffins (AAAA),"AAAA, Cannabis, Indica",14gms,120
https://www.speedgreens.ca/product/blueberry-muffins-aaaa/,Blueberry Muffins (AAAA),"AAAA, Cannabis, Indica",28gms,225
https://www.speedgreens.ca/product/silverback-gorilla-smalls-aa/,Silverback Gorilla (smalls) (AA),"AA, Cannabis, Indica",3-5gms,25
https://www.speedgreens.ca/product/silverback-gorilla-smalls-aa/,Silverback Gorilla (smalls) (AA),"AA, Cannabis, Indica",7gms,45
https://www.speedgreens.ca/product/silverback-gorilla-smalls-aa/,Silverback Gorilla (smalls) (AA),"AA, Cannabis, Indica",14gms,80
https://www.speedgreens.ca/product/silverback-gorilla-smalls-aa/,Silverback Gorilla (smalls) (AA),"AA, Cannabis, Indica",28gms,140
https://www.speedgreens.ca/product/top-shelf-mix-and-match-aaaa-2oz-4-x-14g/,Top Shelf Mix and Match AAAA 2oz (4 x 14g),"AAAA, Bulk Deals, Cannabis, Mix and Match, Sale Products, Top Shelf, AAAA, Bulk Deals, Cannabis, Mix and Match, Sale Products, Top Shelf",
https://www.speedgreens.ca/product/critical-kush-aaaa/,Critical Kush (AAA+),"AAA, Cannabis, Indica, Sale Products",3-5gms,32
https://www.speedgreens.ca/product/critical-kush-aaaa/,Critical Kush (AAA+),"AAA, Cannabis, Indica, Sale Products",7gms,58
https://www.speedgreens.ca/product/critical-kush-aaaa/,Critical Kush (AAA+),"AAA, Cannabis, Indica, Sale Products",14gms,90
