url,name,categories,quantity,price
https://www.thechrono.ca/shop/100-mg-thc-pills/,100 mg THC Pills,Edibles & Pills,1,6.5
https://www.thechrono.ca/shop/100-mg-thc-pills/,100 mg THC Pills,Edibles & Pills,10,60
https://www.thechrono.ca/shop/100-mg-thc-pills/,100 mg THC Pills,Edibles & Pills,100,475
https://www.thechrono.ca/shop/100-mg-thc-pills/,100 mg THC Pills,Edibles & Pills,500,2000
https://www.thechrono.ca/shop/420-sanitizing-wipes/,420 Sanitizing Wipes,Accessories,,11.99
https://www.thechrono.ca/shop/420-science-scope-60-100x-zoom-led-microscope/,420 Science Scope 60-75x Zoom LED Microscope,Accessories,,41.99
https://www.thechrono.ca/shop/50-mg-cbd-pills/,50 mg CBD Pills,Edibles & Pills,1,6.5
https://www.thechrono.ca/shop/50-mg-cbd-pills/,50 mg CBD Pills,Edibles & Pills,10,60
https://www.thechrono.ca/shop/50-mg-cbd-pills/,50 mg CBD Pills,Edibles & Pills,100,475
https://www.thechrono.ca/shop/50-mg-cbd-pills/,50 mg CBD Pills,Edibles & Pills,500,2000
https://www.thechrono.ca/shop/aftermath-extracts-alien-og-shatter-sept2019/,Aftermath Extracts – Alien OG Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/aftermath-extracts-kosher-kush-shatter-sept2019/,Aftermath Extracts – Kosher Kush Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/aftermath-extracts-lambs-bread-shatter-sept2019/,Aftermath Extracts – Lamb’s Bread Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/aftermath-extracts-northern-lights-blue-cheese-shatter-sept2019/,Aftermath Extracts – Northern Lights Blue Cheese Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/aftermath-extracts-purple-punch-shatter-sept2019/,Aftermath Extracts – Purple Punch Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/aftermath-extracts-white-russian-shatter-sept2019/,Aftermath Extracts – White Russian Shatter,Concentrates,,25.99
https://www.thechrono.ca/shop/alpine-extracts-citrus-skunk-diamonds/,Alpine Extracts – Citrus Skunk – Diamonds (Half oz & Qtr Oz),Concentrates,half-ounce,550
https://www.thechrono.ca/shop/alpine-extracts-citrus-skunk-diamonds/,Alpine Extracts – Citrus Skunk – Diamonds (Half oz & Qtr Oz),Concentrates,quarter,300
https://www.thechrono.ca/shop/alpine-extracts-death-bubba-diamonds/,Alpine Extracts – Death Bubba – Diamonds (Half oz & Qtr Oz),Concentrates,half-ounce,550
https://www.thechrono.ca/shop/alpine-extracts-death-bubba-diamonds/,Alpine Extracts – Death Bubba – Diamonds (Half oz & Qtr Oz),Concentrates,quarter,300
https://www.thechrono.ca/shop/alpine-extracts-gorilla-glue-x-nebula-diamonds/,Alpine Extracts – Gorilla Glue x Nebula – Diamonds (Half oz & Qtr Oz),Concentrates,half-ounce,550
https://www.thechrono.ca/shop/alpine-extracts-gorilla-glue-x-nebula-diamonds/,Alpine Extracts – Gorilla Glue x Nebula – Diamonds (Half oz & Qtr Oz),Concentrates,quarter,300
https://www.thechrono.ca/shop/apawthecary-beef-flavoured-hemp-terpene-infused-dog-treats-200g/,Apawthecary – Beef Flavoured – Hemp Terpene Infused Dog Treats 200g,Edibles & Pills,,27.99
https://www.thechrono.ca/shop/apawthecary-dog-hotspot-salve/,Apawthecary – Dog Hot Spot Salve,Body Products,,17.95
