url,name,categories,quantity,price
https://thegentleherb.com/shop/concentrates/1g-distillate-cartridge/,1g Distillate Cartridge,"Concentrates, Economic",,50.00
https://thegentleherb.com/shop/concentrates/1g-distillate/,1g Distillate Syringe,"Concentrates, Economic",,50.00
https://thegentleherb.com/shop/concentrates/300mg-cbd-vape-pen/,300mg CBD Vape Pen,Concentrates,,40.00
https://thegentleherb.com/shop/concentrates/afghan-hash/,Afghan Hash 1g,Concentrates,,25.00
https://thegentleherb.com/shop/concentrates/diamonds-in-terp-sauce/,Arctic Diamonds in Terp Sauce 1g,Concentrates,,60.00
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",14g,90
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",28g,180
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",QP,550
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",7g,50
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",3.5g,25
https://thegentleherb.com/shop/flower/indica/black-water/,Black Water,"Flower, Indica",1g,8
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",14g,95
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",28g,180
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",QP,550
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",7g,45
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",3.5g,25
https://thegentleherb.com/shop/flower/indica/blue-champagne/,Blue Champagne,"Flower, Indica",1g,8
https://thegentleherb.com/shop/flower/quad/blue-hawaiian-skunk/,Blue Hawaiian Skunk,"Flower, Hybrid, Quad",1g,12
https://thegentleherb.com/shop/flower/quad/blue-hawaiian-skunk/,Blue Hawaiian Skunk,"Flower, Hybrid, Quad",3.5g,40
https://thegentleherb.com/shop/flower/quad/blue-hawaiian-skunk/,Blue Hawaiian Skunk,"Flower, Hybrid, Quad",7g,75
https://thegentleherb.com/shop/flower/quad/blue-hawaiian-skunk/,Blue Hawaiian Skunk,"Flower, Hybrid, Quad",14g,140
https://thegentleherb.com/shop/flower/quad/blue-hawaiian-skunk/,Blue Hawaiian Skunk,"Flower, Hybrid, Quad",28g,260
https://thegentleherb.com/shop/concentrates/blue-nuken-rosin/,Blue Nuken Rosin,Concentrates,,30.00
https://thegentleherb.com/shop/edibles/blue-raspberry-soda-bottles-120mg/,Blue Raspberry Soda Bottles 120mg,Edibles,,13.00
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",14g,90
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",28g,180
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",QP,550
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",7g,50
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",3.5g,25
https://thegentleherb.com/shop/flower/sativa/blue-viper/,Blue Viper,"Flower, sativa",1g,8
https://thegentleherb.com/shop/concentrates/blue-viper-house-shatter/,Blue Viper House Shatter,Concentrates,14g,370
https://thegentleherb.com/shop/concentrates/blue-viper-house-shatter/,Blue Viper House Shatter,Concentrates,28g,650
https://thegentleherb.com/shop/concentrates/blue-viper-house-shatter/,Blue Viper House Shatter,Concentrates,7g,190
https://thegentleherb.com/shop/concentrates/blue-viper-house-shatter/,Blue Viper House Shatter,Concentrates,3.5g,110
https://thegentleherb.com/shop/concentrates/blue-viper-house-shatter/,Blue Viper House Shatter,Concentrates,1g,35
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",14g,80
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",28g,150
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",QP,500
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",7g,45
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",3.5g,25
https://thegentleherb.com/shop/flower/indica/bubblegum-kush/,Bubblegum Kush,"Flower, Hybrid, Indica",1g,8
https://thegentleherb.com/shop/therapeutic/cbd-cooking-spice/,CBD Cooking Spice,"Edibles, Therapeutic",,30.00
https://thegentleherb.com/shop/flower/indica/champagne-kush/,Champagne Kush,"Flower, Hybrid, Indica, Quad",1g,10
https://thegentleherb.com/shop/flower/indica/champagne-kush/,Champagne Kush,"Flower, Hybrid, Indica, Quad",3.5g,35
https://thegentleherb.com/shop/flower/indica/champagne-kush/,Champagne Kush,"Flower, Hybrid, Indica, Quad",7g,65
https://thegentleherb.com/shop/flower/indica/champagne-kush/,Champagne Kush,"Flower, Hybrid, Indica, Quad",14g,120
https://thegentleherb.com/shop/flower/indica/champagne-kush/,Champagne Kush,"Flower, Hybrid, Indica, Quad",28g,220
https://thegentleherb.com/shop/edibles/cola-bottles-120mg/,Cola Bottles 120mg,Edibles,,11.00
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",14g,110
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",28g,200
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",QP,700
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",7g,55
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",3.5g,30
https://thegentleherb.com/shop/flower/indica/dank-schrader/,Dank Schrader,"Flower, Hybrid, Indica, Quad",1g,12
https://thegentleherb.com/shop/concentrates/dark-moon-rosin/,Dark Moon Rosin,Concentrates,,30.00
https://thegentleherb.com/shop/therapeutic/delush-cbd-bath-bomb/,Delush CBD Bath Bomb,Therapeutic,,15.00
https://thegentleherb.com/shop/therapeutic/delush-cbd-tincture/,Delush CBD Tincture,Therapeutic,600mg,70
https://thegentleherb.com/shop/therapeutic/delush-cbd-tincture/,Delush CBD Tincture,Therapeutic,1200mg,140
https://thegentleherb.com/shop/therapeutic/delush-hemp-body-lotion/,Delush Hemp Body Lotion,Therapeutic,,36.00
https://thegentleherb.com/shop/therapeutic/delush-magic-stick/,Delush Magic Stick,Therapeutic,,36.00
https://thegentleherb.com/shop/therapeutic/delush-whipped-body-butter/,Delush Whipped Body Butter,Therapeutic,,36.00
https://thegentleherb.com/shop/therapeutic/delush-whipped-soap-scrub/,Delush Whipped Soap Scrub,Therapeutic,,40.00
https://thegentleherb.com/shop/edibles/dino-gang-100mg/,Dino Gang 100mg THC Gummies,Edibles,,10.00
https://thegentleherb.com/shop/concentrates/distillate-1g/,Distillate 1g,Concentrates,,50.00
https://thegentleherb.com/shop/flower/sativa/eco-acapulco-gold-28g/,Eco Acapulco Gold 28g,"Economic, Flower, sativa",,89.00
https://thegentleherb.com/shop/flower/sativa/eco-durban-poison/,ECO Durban Poison 28g,"Economic, Flower, sativa",28g,160
https://thegentleherb.com/shop/flower/sativa/eco-durban-poison/,ECO Durban Poison 28g,"Economic, Flower, sativa",DOUBLE 28g,260
https://thegentleherb.com/shop/flower/indica/el-jefe/,El Jefe,"Flower, Indica",14g,95
https://thegentleherb.com/shop/flower/indica/el-jefe/,El Jefe,"Flower, Indica",28g,180
