url,name,categories,quantity,price
https://www.thehighclub.ca/product/ayahuasca-purple-aaaa/,Ayahuasca Purple AAAA,"AAAA, Flowers, Indica, Limited Craft Cannabis",ounce,250
https://www.thehighclub.ca/product/ayahuasca-purple-aaaa/,Ayahuasca Purple AAAA,"AAAA, Flowers, Indica, Limited Craft Cannabis",7-grams,65
https://www.thehighclub.ca/product/ayahuasca-purple-aaaa/,Ayahuasca Purple AAAA,"AAAA, Flowers, Indica, Limited Craft Cannabis",0-5-ounce,125
https://www.thehighclub.ca/product/cbd-chocolate-those-happy-chocolates/,CBD Chocolate – Those Happy Chocolates (150mg CBD/bar),"CBD Only, Edibles",,20.00
https://www.thehighclub.ca/product/healing-salve-tree-of-life-botanicals/,Healing Salve – Tree of Life Botanicals (75mg CBD),"Aromatherapy, CBD Beauty Products",,20.00
https://www.thehighclub.ca/product/cbd-oral-syringe-nikki-stikki-botanicals/,CBD Oral Syringe – Nikki Stikki Botanicals (100mg CBD/1mL),"CBD Isolate/Tincture, Concentrates",,20.00
https://www.thehighclub.ca/product/cbd-therapeutic-balm-honest-botanicals/,CBD Therapeutic Balm – Honest Botanicals (300mg CBD/30ml),"Aromatherapy, CBD Beauty Products",,42.00
https://www.thehighclub.ca/product/herbivores-edibles-candies/,Herbivores Edibles Candies (150mg CBD),"Candies, CBD Only, Edibles",,15.00
https://www.thehighclub.ca/product/tetra-bites-gummy-candies-10mg-cbd-10mg-thc/,Tetra Bites Gummy Candies (10mg CBD/10mg THC),"Candies, Edibles",,12.00
https://www.thehighclub.ca/product/cbd-tincture-full-spectrum-honest-botanicals/,CBD Tincture – Full Spectrum – Honest Botanicals,"CBD Isolate/Tincture, Concentrates",,65.00 - 120.00
https://www.thehighclub.ca/product/cbd-tincture-no-thc-honest-botanicals/,CBD Tincture – No THC – Honest Botanicals,"CBD Isolate/Tincture, Concentrates",,65.00 - 115.00
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",3-5-grams,40
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",7-grams,70
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",0-5-ounce,135
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",ounce,270
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",0-25-pound,660
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",0-5-pound,1175
https://www.thehighclub.ca/product/slurricane-aaaa/,Slurricane AAAA+,"AAAA, Flowers, Indica, Limited Craft Cannabis",pound,2270
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",3-5-grams,35
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",0-5-ounce,120
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",ounce,215
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",0-25-pound,540
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",0-5-pound,935
https://www.thehighclub.ca/product/jet-fuel-aaa/,Jet Fuel AAA+,"AAA, Flowers, Hybrid",pound,1810
https://www.thehighclub.ca/product/alaskan-thunder-fuck-aaaa/,Alaskan Thunder Fuck AAAA+,"AAAA, Flowers, Limited Craft Cannabis, Sativa",0-5-ounce,135
https://www.thehighclub.ca/product/gods-green-crack-aaa/,God’s Green Crack AAA+,"AAA, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/purple-space-queen-aaa/,Purple Space Queen AAA,"AAA, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/purple-space-queen-aaa/,Purple Space Queen AAA,"AAA, Flowers, Hybrid",0-5-ounce,115
https://www.thehighclub.ca/product/purple-space-queen-aaa/,Purple Space Queen AAA,"AAA, Flowers, Hybrid",ounce,195
https://www.thehighclub.ca/product/afghani-bullrider-aaaa/,Afghani Bullrider AAAA,"AAAA, Flowers, Indica",3-5-grams,35
https://www.thehighclub.ca/product/afghani-bullrider-aaaa/,Afghani Bullrider AAAA,"AAAA, Flowers, Indica",7-grams,65
https://www.thehighclub.ca/product/afghani-bullrider-aaaa/,Afghani Bullrider AAAA,"AAAA, Flowers, Indica",0-5-ounce,125
https://www.thehighclub.ca/product/afghani-bullrider-aaaa/,Afghani Bullrider AAAA,"AAAA, Flowers, Indica",ounce,250
https://www.thehighclub.ca/product/afghani-bullrider-aaaa/,Afghani Bullrider AAAA,"AAAA, Flowers, Indica",0-25-pound,600
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",3-5-grams,35
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",0-5-ounce,120
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",ounce,215
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",0-25-pound,540
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",0-5-pound,935
https://www.thehighclub.ca/product/cbd-dream-aaa/,CBD Dream AAA+,"AAA, CBD Flowers, Flowers, Hybrid",pound,1810
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",3-5-grams,35
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",7-grams,65
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",0-5-ounce,120
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",ounce,215
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",0-25-pound,540
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",0-5-pound,935
https://www.thehighclub.ca/product/pine-tar-kush-aaa/,Pine Tar Kush AAA+,"AAA, Flowers, Indica",pound,1810
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",3-5-grams,35
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",0-5-ounce,120
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",ounce,215
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",0-25-pound,540
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",0-5-pound,935
https://www.thehighclub.ca/product/gorilla-glue-4-aaa/,Gorilla Glue #4 AAA+,"AAA, Flowers, Hybrid",pound,1810
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",3-5-grams,35
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",7-grams,65
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",0-5-ounce,115
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",ounce,195
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",0-25-pound,520
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",0-5-pound,850
https://www.thehighclub.ca/product/sherbert-aaa/,Sherbert AAA,"AAA, Flowers, Hybrid",pound,1650
https://www.thehighclub.ca/product/lip-gloss-nikki-stikki-botanicals/,Lip Gloss – Nikki Stikki Botanicals (50mg CBD),"CBD Beauty Products, Make up",,25.00
https://www.thehighclub.ca/product/energizer-bites-nikki-stikki-botanicals/,Energizer Bites – Nikki Stikki Botanicals (250mg CBD),"CBD Only, Edibles",,25.00
https://www.thehighclub.ca/product/aphrodisiac-aromatherapy-roller-nikki-stikki-botanicals/,Aphrodisiac Aromatherapy Roller – Nikki Stikki Botanicals,"Aromatherapy, CBD Beauty Products",,35.00
https://www.thehighclub.ca/product/stress-relief-aromatherapy-roller-nikki-stikki-botanicals/,Stress Relief Aromatherapy Roller – Nikki Stikki Botanicals,"Aromatherapy, CBD Beauty Products",,35.00
https://www.thehighclub.ca/product/headache-aromatherapy-roller-nikki-stikki-botanicals/,Headache Aromatherapy Roller – Nikki Stikki Botanicals,"Aromatherapy, CBD Beauty Products",,35.00
https://www.thehighclub.ca/product/allergy-sinus-aromatherapy-roller-nikki-stikki-botanicals/,Allergy & Sinus Aromatherapy Roller – Nikki Stikki Botanicals,"Aromatherapy, CBD Beauty Products",,35.00
https://www.thehighclub.ca/product/cbd-tincture-nikki-stikki-botanicals/,CBD Tincture – Nikki Stikki Botanicals (300mg CBD/30mL),"CBD Isolate/Tincture, Concentrates",,50.00
https://www.thehighclub.ca/product/bright-eye-serum-nikki-stikki-botanicals/,Bright Eye Serum – Nikki Stikki Botanicals (100mg CBD/10mL),"CBD Beauty Products, Serums",,35.00
https://www.thehighclub.ca/product/scar-eraser-serum-nikki-stikki-botanicals-800mg-cbd-80ml/,Scar Eraser Serum – Nikki Stikki Botanicals (800mg CBD/80mL),"CBD Beauty Products, Serums",,50.00
https://www.thehighclub.ca/product/anti-aging-serum-nikki-stikki-botanicals/,Anti-aging Serum – Nikki Stikki Botanicals (150mg CBD/15mL),"CBD Beauty Products, Serums",,35.00
https://www.thehighclub.ca/product/hair-growth-serum-nikki-stikki-botanicals/,Hair Growth Serum – Nikki Stikki Botanicals (300mg CBD/30mL),"CBD Beauty Products, Serums",,53.00
https://www.thehighclub.ca/product/healing-stick-nikki-stikki-botanicals/,Healing Stick – Nikki Stikki Botanicals (600mg CBD/75g),"Aromatherapy, CBD Beauty Products",,50.00
