url,name,categories,quantity,price
https://weemo.ca/product/ounce-mix-match/,Ounce Mix + Match,Mix + Match,,126.35
https://weemo.ca/product/twisted-extracts-cara-melts/,Twisted Extracts Cara-Melts,"Candies, CBD, Edibles",,13.00
https://weemo.ca/product/sec-green-goddess-vape/,SeC – Green Goddess Vape,Vapes,,50.00
https://weemo.ca/product/mota-jelly/,MOTA Jelly,"Candies, Edibles",,14.00
https://weemo.ca/product/green-gold-shatter-sampler/,Green Gold Shatter Sampler,Bundles,,100.00
https://weemo.ca/product/do-si-dos-i-aa-ounce-sale-small-nugs/,Do-Si-Dos (I) AA Ounce Sale (Small Nugs),Flower Sales,,120.00
https://weemo.ca/product/phantom-cookies-i-aa-ounce-sale-small-nugs/,Phantom Cookies (S) AA Ounce Sale (Small Nugs),Flower Sales,,120.00
https://weemo.ca/product/dick-punch-extracts-shatter/,Dick Punch Extracts Shatter,"Concentrates, Shatter",,40.00
https://weemo.ca/product/bubba-kush-i-aaa/,Bubba Kush (I) AAA,"Flowers, Indica",14grams,100
https://weemo.ca/product/green-crack-god-h-aaa/,Green Crack God (H) AAA,"Flowers, Hybrid",14grams,100
https://weemo.ca/product/green-crack-god-h-aaa/,Green Crack God (H) AAA,"Flowers, Hybrid",28grams,200
https://weemo.ca/product/green-crack-god-h-aaa/,Green Crack God (H) AAA,"Flowers, Hybrid",7grams,55
https://weemo.ca/product/orange-creamsicle-i-aaa/,Orange Creamsicle (I) AAA,"Flowers, Indica",7grams,60
https://weemo.ca/product/orange-creamsicle-i-aaa/,Orange Creamsicle (I) AAA,"Flowers, Indica",14grams,100
https://weemo.ca/product/orange-creamsicle-i-aaa/,Orange Creamsicle (I) AAA,"Flowers, Indica",28grams,200
https://weemo.ca/product/orange-creamsicle-i-aaa/,Orange Creamsicle (I) AAA,"Flowers, Indica",3-5grams,30
https://weemo.ca/product/mota-temple-tea/,MOTA Temple Tea,"Drinks, Edibles",,14.00
https://weemo.ca/product/dose-thc-wine-infused-gummies/,DOSE THC Wine Infused Gummies,"Candies, Edibles",,26.00
https://weemo.ca/product/chocolate-thai-s-aa-14g-sale/,Chocolate Thai (S) AA 14g Sale,Flower Sales,,75.00
